"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"Rd";"corranet";"anet.delta";"pr.CO2";"pr.real";"pr.percent";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"JT";"JO1";"JC1";"JO2";"JC2";"Rp.ETR";"JO1.percent";"JC1.percent";"Rp.ETR.percent";"JC2.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Acer platanoides";"1";"25";4.548229394;6.830798378;0.36655866054276;4.18167073345724;2.282568984;1.141284492;3.423853476;0.752788212599112;0.030415138;0.045668858;0.01525372;0.50151736940993;0.000407591;0.000616977;0.000209386;0.513715955455346;41.76348469;18.8021544;-22.96133029;-0.549794406775111;41.76348469;31.4390589916955;10.3244256983045;15.7137114093333;1.96421392616667;26.0497732806667;0.752788212599112;0.247211787400889;0.0470318494911653;0.623745204070677;-0.999235389;-0.999160598;7.4790999999963e-05;-7.48482297797831e-05
"Acer platanoides";"1";"30";10.42569738;14.06804817;0.6929932324852;9.7327041475148;3.64235079;1.821175395;5.463526185;0.524044194442176;0.163419743;0.12324839;-0.040171353;-0.245817012452406;0.003624564;0.002790567;-0.000833997;-0.23009581290329;59.587367;47.07855936;-12.50880764;-0.209923818919537;59.587367;31.2264137384453;28.3609532615547;11.9230516533333;1.49038145666667;47.6643153466667;0.524044194442176;0.475955805557824;0.0250117018371808;0.799906385302554;-0.999182683;-0.999088316;9.43669999999841e-05;-9.44441908427111e-05
"Acer platanoides";"1";"35";10.02979729;15.79742466;0.6710049414866;9.3587923485134;5.76762737;2.883813685;8.651441055;0.862573869127519;0.124532211;0.132293131;0.00776092;0.0623205830658544;0.003515803;0.003830112;0.000314309;0.0893989225221095;79.94928635;49.31898561;-30.63030074;-0.383121627951842;79.94928635;68.9621652609034;10.9871210890966;26.5533981266667;3.31917476583333;53.3958882233333;0.862573869127519;0.137426130872481;0.0415160024231202;0.667871980615038;-0.998823802;-0.998900124;-7.6321999999962e-05;7.64118754950956e-05
"Acer platanoides";"2";"30";9.42240983;11.68267727;0.6372706419582;8.7851391880418;2.26026744;1.13013372;3.39040116;0.359823147280784;0.182659012;0.119748477;-0.062910535;-0.344415171806579;0.003872403;0.002645545;-0.001226858;-0.316820847416966;34.3184495;30.37773379;-3.94071571;-0.114827906488025;34.3184495;12.3485725088867;21.9698769911133;-2.24745988;-0.280932485;36.56590938;0.359823147280784;0.640176852719216;-0.00818604829451866;1.06548838635615;-0.999451667;-0.999255756;0.000195910999999938;-0.000196018483402997
"Acer platanoides";"2";"35";4.348076438;9.221238328;0.35544216536652;3.99263427263348;4.87316189;2.436580945;7.309742835;1.68114405053152;0.073602448;0.091909783;0.018307335;0.248732691608301;0.002180884;0.002637027;0.000456143;0.209155094906469;40.5757486;17.51759257;-23.05815603;-0.568274322115649;40.5757486;68.2136783547528;-27.6379297547528;15.4556285653333;1.93195357066667;25.1201200346667;1.68114405053152;-0.681144050531524;0.0476135040590888;0.61909196752729;-0.999272027;-0.999393073;-0.000121046000000069;0.000121134182414244
"Acer platanoides";"3";"30";7.483388816;12.20624096;0.52957741484064;6.95381140115936;4.722852144;2.361426072;7.084278216;0.946667130385278;0.095568433;0.132108682;0.036540249;0.382346428134905;0.002127634;0.002968374;0.00084074;0.395152549733648;48.49470716;27.97166643;-20.52304073;-0.423201663271988;48.49470716;45.9083452660316;2.58636189396842;12.374101264;1.546762658;36.120605896;0.946667130385278;0.0533328696147222;0.0318954943453256;0.744836045237395;-0.999292835;-0.99935682;-6.39850000000441e-05;6.40302799729812e-05
"Acer platanoides";"4";"25";7.641752092;9.385743149;0.53837291118968;7.10337918081032;1.743991057;0.8719955285;2.6159865855;0.342328114548315;0.060876178;0.098220784;0.037344606;0.613451882606691;0.000811307;0.001295769;0.000484462;0.597137704962486;43.84683566;30.56214726;-13.2846884;-0.302979410031159;43.84683566;15.0100045803976;28.8368310796024;8.85321819466667;1.10665227433333;34.9936174653333;0.342328114548315;0.657671885451685;0.0252390453649748;0.798087637080202;-0.999305503;-0.999192549;0.000112953999999998;-0.00011303250073266
"Acer platanoides";"4";"30";11.75780806;15.94409491;0.7669786596524;10.9908294003476;4.18628685;2.093143425;6.279430275;0.534064703468207;0.171886788;0.198171923;0.026285135;0.152921206486213;0.003720951;0.004337595;0.000616644;0.16572215006325;72.81464708;56.06034981;-16.75429727;-0.230095151756931;72.81464708;38.8877329009224;33.9269141790776;17.1889432266667;2.14861790333333;55.6257038533333;0.534064703468207;0.465935296531792;0.0295080452834261;0.763935637732591;-0.99911522;-0.9991778;-6.25800000000343e-05;6.26354185656728e-05
"Acer platanoides";"4";"35";14.23522548;19.64561599;0.9045744231592;13.3306510568408;5.41039051;2.705195255;8.115585765;0.570105881104737;0.221644356;0.186486955;-0.035157401;-0.158620781663396;0.006240397;0.005268359;-0.000972038;-0.155765410437829;100.7664443;67.24775985;-33.51868445;-0.332637364381031;100.7664443;57.4475425134429;43.3189017865571;29.2170282533333;3.65212853166667;71.5494160466667;0.570105881104737;0.429894118895263;0.0362434990838182;0.710052007329454;-0.999098893;-0.998976796;0.000122096999999988;-0.000122207121692795
"Acer platanoides";"5";"25";11.12565617;13.02732127;0.7318689436818;10.3937872263182;1.9016651;0.95083255;2.85249765;0.256389160910048;0.167110706;0.153903667;-0.013207039;-0.0790316749664142;0.002153281;0.002021408;-0.000131873;-0.0612428196784348;43.16753823;46.20354464;3.03600641;0.0703307748017485;43.16753823;11.0676889053421;32.0998493246579;-0.890057633333332;-0.111257204166667;44.0575958633333;0.256389160910048;0.743610839089952;-0.00257733493102802;1.02061867944822;-0.999295743;-0.998948506;0.000347237000000056;-0.000347481716431224
