"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"Rd";"corranet";"anet.delta";"pr.CO2";"pr.real";"pr.percent";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"JT";"JO1";"JC1";"JO2";"JC2";"JO1.percent";"JC1.percent";"JO2.percent";"JC2.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Docksta";"1";"25";15.17331339;24.184558;0.9566758256806;14.2166375643194;9.01124461;4.505622305;13.516866915;0.890831591464282;0.175397422;0.160418549;-0.014978873;-0.0853996189294048;0.002017328;0.001843023;-0.000174305;-0.0864038966395153;122.2462884;91.40328265;-30.84300575;-0.252302185642472;213.64957105;190.325787394133;23.3237836558673;101.970878326667;111.678692723333;0.890831591464282;0.109168408535718;0.477280987860269;0.522719012139731;-0.999160187;-0.999000075;0.00016011199999999;-0.000160246577158693
"Docksta";"1";"30";15.82024034;23.67534569;0.9926061484836;14.8276341915164;7.85510535;3.927552675;11.782658025;0.74478375623717;0.197195252;0.192783929;-0.00441132299999999;-0.0223703307014714;0.00370592;0.003613802;-9.2118e-05;-0.024856985579829;139.1233219;75.98847447;-63.13484743;-0.453804916154751;215.11179637;160.211771711374;54.9000246586262;101.220556673333;113.891239696667;0.74478375623717;0.25521624376283;0.470548609520374;0.529451390479626;-0.999045319;-0.999116335;-7.10159999999238e-05;7.10838624127759e-05
"Docksta";"1";"35";12.11037196;17.2626133;0.7865600586584;11.3238119013416;5.15224134;2.57612067;7.72836201;0.638160581320411;0.171963468;0.140463133;-0.031500335;-0.183180389220808;0.005585843;0.004447861;-0.001137982;-0.203726098280958;126.1847559;77.05917988;-49.12557602;-0.389314665385821;203.24393578;129.702268207213;73.541667572787;103.20163196;100.04230382;0.638160581320411;0.361839418679589;0.507772256839731;0.492227743160269;-0.999052717;-0.99887644;0.000176277000000002;-0.000176444142536677
"Docksta";"2";"25";11.08844663;15.92457052;0.7298023258302;10.3586443041698;4.83612389;2.418061945;7.254185835;0.654211187288728;0.183785024;0.199925625;0.016140601;0.0878232657302915;0.0023498;0.00252599;0.00017619;0.0749808494339944;67.79399892;54.71487602;-13.0791229;-0.192924493441285;122.50887494;80.1466765279038;42.3621984120962;52.10339228;70.40548266;0.654211187288728;0.345788812711272;0.425303001970414;0.574696998029586;-0.999146577;-0.999143868;2.70899999998964e-06;-2.71131389763009e-06
"Docksta";"2";"30";11.24683073;16.2682304;0.7385989787442;10.5082317512558;5.02139967;2.510699835;7.532099505;0.669708621550491;0.143337459;0.140888901;-0.00244855799999999;-0.0170824710936168;0.002603247;0.002609541;6.294e-06;0.00241774983318909;69.62390954;54.17325377;-15.45065577;-0.221915946290309;123.79716331;82.9080275922011;40.8891357177989;52.5398935933333;71.2572697166667;0.669708621550491;0.330291378449509;0.424403049218247;0.575596950781753;-0.999241075;-0.999163861;7.72140000000476e-05;-7.72726441415027e-05
"Docksta";"2";"35";13.04662644;21.01300106;0.8385596324776;12.2080668075224;7.96637462;3.98318731;11.94956193;0.915912016409355;0.201041534;0.186220571;-0.014820963;-0.0737209008761344;0.006090291;0.005880605;-0.000209686000000001;-0.0344295535303651;115.7058649;76.59733384;-39.10853106;-0.337999556840096;192.30319874;176.132810519922;16.1703882200777;93.4111286533333;98.8920700866667;0.915912016409355;0.0840879835906454;0.485749219281725;0.514250780718275;-0.999013349;-0.999010533;2.81600000007209e-06;-2.81878115331579e-06
"Docksta";"5";"25";11.74860285;16.3762034;0.766467402289;10.982135447711;4.62760055;2.313800275;6.941400825;0.590827770214396;0.117275052;0.128883465;0.011608413;0.0989845052466913;0.00151785;0.00169728;0.00017943;0.118213262180057;87.91482552;59.73971552;-28.17511;-0.320481896350808;147.65454104;87.2384032446933;60.4161377953067;67.1067530933333;80.5477879466667;0.590827770214396;0.409172229785604;0.45448485783552;0.54551514216448;-0.999175081;-0.998971181;0.000203899999999924;-0.000204068339850765
"Docksta";"5";"30";10.984844;16.80434944;0.72404823576;10.26079576424;5.81950544;2.90975272;8.72925816;0.794663825904127;0.178422182;0.123543582;-0.0548786;-0.307577227140962;0.003047327;0.00206752;-0.000979807;-0.321529983490449;91.87802695;51.52267974;-40.35534721;-0.439227403435224;143.40070669;113.955354215631;29.445352474369;66.3075537933333;77.0931528966667;0.794663825904127;0.205336174095873;0.462393493894527;0.537606506105473;-0.99887814;-0.998911364;-3.32240000000539e-05;3.32613145383819e-05
"Docksta";"5";"35";12.07073134;17.02215767;0.7843584186236;11.2863729213764;4.95142633;2.475713165;7.427139495;0.615301532757003;0.143956601;0.133159537;-0.010797064;-0.0750022154246334;0.004287368;0.003908033;-0.000379335;-0.0884773595362002;142.9533267;82.11977958;-60.83354712;-0.425548313735045;225.07310628;138.487827276464;86.5852790035361;117.860120613333;107.212985666667;0.615301532757003;0.384698467242997;0.523652614749585;0.476347385250415;-0.999029434;-0.998830549;0.000198884999999982;-0.000199078218550247
"Docksta";"8";"25";15.59016914;21.37935663;0.9798279940356;14.6103411459644;5.78918749;2.894593745;8.683781235;0.557003657690913;0.180837468;0.092264211;-0.088573257;-0.489794830571284;0.002339888;0.001192056;-0.001147832;-0.49054997504154;127.9775965;83.43778776;-44.53980874;-0.348028170227435;211.41538426;117.75914232495;93.6562419350501;99.3698051333333;112.045579126667;0.557003657690913;0.442996342309087;0.470021637645479;0.529978362354521;-0.999083126;-0.999062435;2.06910000000171e-05;-2.07099884499672e-05
