sp;treeid;setTleaf;anet.21p;anet.0p;Rd;corranet;anet.delta;pr.real;gsw.21p;gsw.0p;gsw.delta;gsw.percent;E.21p;E.0p;E.delta;E.percent;ETR.21p;ETR.0p;ETR.delta;ETR.percent;NPQ.21p;NPQ.0p;NPQ.delta;NPQ.percent;Jc;Jo;Jt;Jc/Jt;Jo/Jt;Jc/Jo
Corylus avellana;5;35;6.1808;9.978;0.4572;5.7236;4.2544;0.7433;0.109;0.1112;0.0022;0.02;0.003;0.003;0;0.0144;47.8708;32.8011;-15.0697;-0.3148;-0.9991;-0.9991;0;0;43.3728;37.2992;80.672;0.537643792;0.462356208;
Corylus avellana;6;25;4.8659;6.2536;0.3842;4.4817;1.7719;0.3954;0.1196;0.1433;0.0236;0.1975;0.0016;0.0019;0.0003;0.1783;15.7787;17.7657;1.987;0.1259;-0.9994;-0.9991;0.0003;-0.0003;24.1572;9.3872;33.5444;0.720155972;0.279844028;
Corylus avellana;6;30;5.8636;8.669;0.4396;5.424;3.245;0.5983;0.1486;0.1313;-0.0173;-0.1166;0.0027;0.0025;-0.0003;-0.0917;21.626;24.4676;2.8416;0.1314;-0.9993;-0.9992;0.0001;-0.0001;31.0008;15.0928;46.0936;0.672561917;0.327438083;
Corylus avellana;6;35;4.0085;6.6261;0.3366;3.6719;2.9542;0.8045;0.1032;0.1085;0.0053;0.0511;0.0036;0.0035;-0.0001;-0.0346;28.8494;10.7114;-18.1381;-0.6287;-0.9993;-0.9993;-0.0001;0.0001;23.87626667;15.68453333;39.5608;0.603533464;0.396466536;
Corylus avellana;7;25;4.5462;6.9072;0.3664;4.1797;2.7275;0.6526;0.1041;0.1854;0.0813;0.7806;0.0014;0.0024;0.001;0.7132;14.0633;24.3049;10.2417;0.7283;-0.9993;-0.999;0.0003;-0.0003;24.91233333;13.45586667;38.3682;0.649296379;0.350703621;
Scandosorbus intermedia;1;25;13.7707;23.0299;0.8788;12.8919;10.1379;0.7864;0.1463;0.1257;-0.0206;-0.1405;0.002;0.0018;-0.0003;-0.1257;109.6485;96.0528;-13.5957;-0.124;-0.9926;-0.9915;0.001;-0.001;105.2889667;100.4123333;205.7013;0.511853677;0.488146323;
Scandosorbus intermedia;2;25;10.9486;23.9842;0.722;10.2265;13.7577;1.3453;0.0718;0.1532;0.0814;1.1337;0.001;0.002;0.001;1.0727;97.7819;106.323;8.541;0.0873;-0.9992;-0.9991;0.0001;-0.0001;97.23096667;106.8739333;204.1049;0.476377425;0.523622575;
Scandosorbus intermedia;4;25;6.3826;12.1438;0.4684;5.9141;6.2296;1.0533;0.1201;0.1877;0.0676;0.563;0.0017;0.0026;0.0009;0.5119;108.8426;67.0147;-41.8279;-0.3843;-0.9975;-0.9976;-0.0001;0.0001;75.63913333;100.2182667;175.8574;0.430116295;0.569883705;
Scandosorbus intermedia;4;35;9.1625;11.9736;0.6228;8.5397;3.4339;0.4021;0.1429;0.164;0.0211;0.1475;0.0038;0.0042;0.0005;0.1248;152.953;63.3909;-89.562;-0.5856;-0.9976;-0.9975;0.0001;-0.0001;96.54796667;119.7959333;216.3439;0.446270806;0.553729194;
Scandosorbus intermedia;4a;25;8.2779;19.271;0.5737;7.7042;11.5668;1.5014;0.0626;0.1732;0.1106;1.7685;0.0009;0.0024;0.0015;1.6488;124.2548;88.6245;-35.6302;-0.2868;-0.9976;-0.9974;0.0002;-0.0002;93.03416667;119.8451333;212.8793;0.437027774;0.562972226;
Scandosorbus intermedia;4a;30;8.2936;22.4845;0.5746;7.7191;14.7655;1.9129;0.0575;0.1812;0.1237;2.1522;0.0012;0.0036;0.0024;1.9677;35.9765;87.6202;51.6437;1.4355;-0.9973;-0.9973;0;0;63.3154;60.2812;123.5966;0.512274609;0.487725391;
Scandosorbus intermedia;4a;35;5.6085;21.3913;0.4254;5.183;16.2083;3.1272;0.04;0.138;0.098;2.4487;0.0011;0.0037;0.0026;2.2835;167.3483;99.0481;-68.3001;-0.4081;-0.9976;-0.9973;0.0003;-0.0003;103.7545333;162.6418667;266.3964;0.389474232;0.610525768;
Scandosorbus intermedia;4b;25;13.8451;21.3536;0.8829;12.9622;8.3915;0.6474;0.1519;0.1475;-0.0044;-0.0288;0.002;0.0019;-0.0001;-0.0489;90.9671;82.1959;-8.7712;-0.0964;-0.9992;-0.999;0.0002;-0.0002;94.64123333;78.52166667;173.1629;0.546544516;0.453455484;
Scandosorbus intermedia;5;25;16.3401;24.8756;1.0215;15.3186;9.557;0.6239;0.1375;0.1448;0.0073;0.053;0.0019;0.002;0;0.0243;141.868;104.6107;-37.2574;-0.2626;-0.9933;-0.9921;0.0011;-0.0011;125.7331667;120.7455333;246.4787;0.510117778;0.489882222;
Scandosorbus intermedia;5b;25;15.3924;23.1484;0.9688;14.4236;8.7248;0.6049;0.1714;0.1697;-0.0016;-0.0096;0.0022;0.0021;-0.0001;-0.028;102.0139;89.5585;-12.4555;-0.1221;-0.9991;-0.9989;0.0002;-0.0002;104.9038667;86.66853333;191.5724;0.547593843;0.452406157;
Scandosorbus intermedia;6;25;12.3703;26.954;0.801;11.5693;15.3848;1.3298;0.1834;0.2009;0.0175;0.0951;0.0024;0.0043;0.0019;0.7744;131.9484;112.9127;-19.0357;-0.1443;-0.992;-0.9914;0.0005;-0.0005;114.6078333;130.2532667;244.8611;0.468052432;0.531947568;
Scandosorbus intermedia;6;30;10.6485;16.351;0.7054;9.9432;6.4078;0.6444;0.171;0.157;-0.0139;-0.0816;0.0029;0.0027;-0.0002;-0.0659;76.2982;70.9848;-5.3133;-0.0696;-0.9991;-0.999;0.0001;-0.0001;77.4906;69.7924;147.283;0.526134041;0.473865959;
Scandosorbus intermedia;6;35;10.6408;23.8304;0.7049;9.9359;13.8946;1.3984;0.0903;0.1764;0.0861;0.9531;0.0024;0.0044;0.002;0.8202;154.1527;98.5722;-55.5804;-0.3606;-0.9923;-0.9914;0.0009;-0.001;112.6171;140.1078;252.7249;0.445611414;0.554388586;
Scandosorbus intermedia;6a;25;16.5139;22.9332;1.0311;15.4827;7.4505;0.4812;0.1404;0.1779;0.0375;0.2671;0.0019;0.004;0.0021;1.0963;142.2886;99.3535;-42.935;-0.3017;-0.9924;-0.9912;0.0011;-0.0012;124.5841667;117.0579333;241.6421;0.5155731;0.4844269;
Scandosorbus intermedia;6a;30;7.4515;9.8015;0.5278;6.9237;2.8778;0.4156;0.0849;0.0848;-0.0002;-0.0018;0.0015;0.0015;0;-0.0034;80.0755;46.4337;-33.6418;-0.4201;-0.9993;-0.9993;0;0;62.0404;64.4688;126.5092;0.490402279;0.509597721;
Scandosorbus intermedia;6a;35;6.0302;18.5521;0.4489;5.5813;12.9708;2.324;0.0501;0.1612;0.1111;2.2163;0.0014;0.0041;0.0027;2.0071;117.1529;80.9042;-36.2487;-0.3094;-0.9913;-0.9908;0.0005;-0.0005;82.0996;115.9576;198.0572;0.414524693;0.585475307;
Scandosorbus intermedia;6b;25;9.1184;19.1652;0.6204;8.498;10.6672;1.2553;0.0939;0.1202;0.0263;0.2796;0.0013;0.0016;0.0003;0.2236;79.2926;84.1533;4.8607;0.0613;-0.9991;-0.9989;0.0002;-0.0002;78.7977;84.6482;163.4459;0.482102641;0.517897359;
Scandosorbus intermedia;6b;30;9.0978;14.873;0.6192;8.4786;6.3944;0.7542;0.1668;0.1284;-0.0384;-0.2302;0.0028;0.0023;-0.0006;-0.1972;59.0872;58.3161;-0.7711;-0.013;-0.9993;-0.9992;0.0001;-0.0001;63.39523333;54.00806667;117.4033;0.539978291;0.460021709;
Scandosorbus intermedia;6b;35;7.8762;19.161;0.5514;7.3248;11.8362;1.6159;0.0856;0.1649;0.0793;0.9271;0.0023;0.0042;0.0019;0.8058;137.4424;83.6844;-53.7581;-0.3911;-0.9927;-0.9921;0.0006;-0.0006;94.71213333;126.4146667;221.1268;0.428315941;0.571684059;
Scandosorbus intermedia;6c;30;6.9675;8.7945;0.5009;6.4665;2.328;0.36;0.106;0.1119;0.0059;0.0559;0.0019;0.002;0.0001;0.0664;49.691;29.25;-20.441;-0.4114;-0.9993;-0.9993;0;0;44.89336667;34.04753333;78.9409;0.568695906;0.431304094;
Scandosorbus intermedia;6c;35;9.2438;12.9907;0.6274;8.6164;4.3743;0.5077;0.1275;0.0972;-0.0303;-0.2376;0.0034;0.0027;-0.0007;-0.214;77.2523;53.2022;-24.0501;-0.3113;-0.999;-0.9991;0;0;68.13496667;62.31953333;130.4545;0.522289125;0.477710875;
Scandosorbus intermedia;6d;25;16.3401;24.8756;1.0215;15.3186;9.557;0.6239;0.1375;0.1448;0.0073;0.053;0.0019;0.002;0;0.0243;141.868;104.6107;-37.2574;-0.2626;-0.9933;-0.9921;0.0011;-0.0011;125.7331667;120.7455333;246.4787;0.510117778;0.489882222;
Scandosorbus intermedia;6d;30;12.0568;20.2209;0.7836;11.2732;8.9477;0.7937;0.2334;0.2355;0.0021;0.0089;0.0038;0.0038;0;0.0036;68.5098;79.1303;10.6205;0.155;-0.9993;-0.9992;0.0001;-0.0001;81.36483333;66.27526667;147.6401;0.551102535;0.448897465;
Scandosorbus intermedia;6d;35;13.7971;22.034;0.8802;12.9168;9.1171;0.7058;0.2222;0.2024;-0.0198;-0.089;0.006;0.0056;-0.0005;-0.0789;106.1342;88.5693;-17.565;-0.1655;-0.9991;-0.9991;0.0001;-0.0001;101.6931667;93.01033333;194.7035;0.522297579;0.477702421;
Scandosorbus intermedia;6e;25;13.7707;23.0299;0.8788;12.8919;10.1379;0.7864;0.1463;0.1257;-0.0206;-0.1405;0.002;0.0018;-0.0003;-0.1257;109.6485;96.0528;-13.5957;-0.124;-0.9926;-0.9915;0.001;-0.001;105.2889667;100.4123333;205.7013;0.511853677;0.488146323;
Scandosorbus intermedia;6e;35;7.2772;10.2325;0.5181;6.7591;3.4735;0.5139;0.0887;0.075;-0.0137;-0.1546;0.0025;0.0022;-0.0003;-0.1344;70.3551;42.6548;-27.7003;-0.3937;-0.9992;-0.9992;0;0;57.0758;55.934;113.0098;0.505051774;0.494948226;
Scandosorbus intermedia;6f;35;6.8679;9.7631;0.4954;6.3725;3.3906;0.5321;0.0811;0.075;-0.0062;-0.0758;0.0024;0.0021;-0.0003;-0.1262;62.2455;48.2874;-13.9581;-0.2242;-0.9992;-0.9991;0;0;55.1587;55.3742;110.5329;0.499025177;0.500974823;
Scandosorbus intermedia;6g;35;12.8142;20.2198;0.8256;11.9885;8.2313;0.6866;0.1972;0.1962;-0.001;-0.0051;0.005;0.0053;0.0003;0.0539;108.3008;80.7486;-27.5521;-0.2544;-0.9992;-0.9992;0;0;97.1874;91.862;189.0494;0.514084678;0.485915322;
Scandosorbus intermedia;7;25;7.4712;19.4579;0.5289;6.9423;12.5156;1.8028;0.0669;0.1581;0.0912;1.363;0.0009;0.0021;0.0011;1.2274;52.8103;67.9746;15.1643;0.2871;-0.9993;-0.9992;0.0001;-0.0001;60.1848;60.6;120.7848;0.498281241;0.501718759;
Scandosorbus intermedia;8;25;11.2992;19.8389;0.7415;10.5577;9.2812;0.8791;0.1087;0.1703;0.0616;0.5667;0.0014;0.0021;0.0007;0.52;79.1073;74.0116;-5.0957;-0.0644;-0.9993;-0.9992;0.0001;-0.0001;81.17083333;71.94806667;153.1189;0.530116356;0.469883644;
Scandosorbus intermedia;9;25;8.6804;18.8208;0.5961;8.0843;10.7364;1.3281;0.0861;0.1294;0.0432;0.502;0.0011;0.0016;0.0005;0.4749;57.3995;83.837;26.4375;0.4606;-0.9991;-0.9989;0.0002;-0.0002;70.22656667;71.00993333;141.2365;0.497226756;0.502773244;
Tilia cordata;1;25;8.4487;9.0939;0.5832;7.8656;1.2283;0.1562;0.0717;0.0785;0.0068;0.0949;0.0009;0.0011;0.0001;0.1136;54.6339;38.9678;-15.6661;-0.2867;-0.9992;-0.9991;0.0001;-0.0001;53.7307;39.871;93.6017;0.574035514;0.425964486;
Tilia cordata;10;25;4.4928;7.7184;0.3635;4.1293;3.5891;0.8692;0.0545;0.054;-0.0005;-0.0087;0.0007;0.0007;0;-0.0334;24.5969;26.6497;2.0528;0.0835;-0.9993;-0.9993;0;0;29.06303333;22.18366667;51.2467;0.567120094;0.432879906;
Tilia cordata;11;25;11.6537;15.3477;0.7612;10.8925;4.4552;0.409;0.179;0.1741;-0.005;-0.0277;0.0022;0.0022;-0.0001;-0.0271;68.6207;56.3666;-12.2541;-0.1786;-0.9992;-0.9991;0.0001;-0.0001;72.73893333;52.24826667;124.9872;0.581971061;0.418028939;
Tilia cordata;12;25;7.5671;12.7004;0.5342;7.0328;5.6675;0.8059;0.0859;0.1166;0.0307;0.3579;0.0011;0.0015;0.0004;0.3573;43.1677;49.2657;6.098;0.1413;-0.9993;-0.9991;0.0003;-0.0003;50.9898;41.4436;92.4334;0.551638261;0.448361739;
Tilia cordata;13;25;8.8473;13.3085;0.6053;8.242;5.0665;0.6147;0.108;0.1306;0.0226;0.2097;0.0014;0.0017;0.0003;0.205;57.9849;52.6801;-5.3048;-0.0915;-0.9991;-0.999;0.0001;-0.0001;60.48116667;50.18393333;110.6651;0.546524303;0.453475697;
Tilia cordata;13;30;10.0948;14.0839;0.6746;9.4201;4.6638;0.4951;0.1395;0.1234;-0.0161;-0.1154;0.0032;0.0027;-0.0005;-0.1491;47.8263;51.3099;3.4836;0.0728;-0.9993;-0.9992;0.0002;-0.0002;59.9646;39.1716;99.1362;0.604870875;0.395129125;
Tilia cordata;13;35;9.5844;14.5774;0.6463;8.9381;5.6393;0.6309;0.1513;0.1576;0.0064;0.0421;0.0048;0.005;0.0002;0.0337;75.5127;56.4632;-19.0495;-0.2523;-0.9991;-0.9991;0;0;69.55036667;62.42553333;131.9759;0.526992933;0.473007067;
Tilia cordata;14;25;8.6639;13.5296;0.5951;8.0688;5.4609;0.6768;0.0848;0.1093;0.0245;0.289;0.0011;0.0014;0.0003;0.2821;66.4645;62.5864;-3.8781;-0.0583;-0.9992;-0.9991;0.0001;-0.0001;66.12073333;62.93026667;129.051;0.512361263;0.487638737;
Tilia cordata;15;25;9.1906;13.9344;0.6244;8.5662;5.3682;0.6267;0.1153;0.1182;0.0029;0.0252;0.0015;0.0016;0;0.0271;56.4415;52.1972;-4.2443;-0.0752;-0.9993;-0.9992;0.0001;-0.0001;60.72116667;47.91753333;108.6387;0.558927589;0.441072411;
Tilia cordata;17;25;10.4808;14.4722;0.6961;9.7847;4.6875;0.4791;0.1275;0.1351;0.0076;0.0596;0.0017;0.0018;0.0001;0.0596;72.2465;50.321;-21.9255;-0.3035;-0.9991;-0.999;0.0001;-0.0001;68.80463333;53.76286667;122.5675;0.561361155;0.438638845;
Tilia cordata;17;30;9.7323;13.3903;0.6545;9.0778;4.3124;0.4751;0.0996;0.0897;-0.01;-0.1001;0.0018;0.0015;-0.0003;-0.1431;70.8917;49.6521;-21.2396;-0.2996;-0.9991;-0.9991;0;0;66.13406667;54.40973333;120.5438;0.548631009;0.451368991;
Tilia cordata;17;35;9.1982;12.9818;0.6248;8.5733;4.4085;0.5142;0.1164;0.1023;-0.0141;-0.121;0.0036;0.0031;-0.0005;-0.142;80.7213;57.6461;-23.0751;-0.2859;-0.9992;-0.999;0.0001;-0.0001;70.65073333;67.71666667;138.3674;0.510602449;0.489397551;
Tilia cordata;18;25;8.7928;9.5741;0.6023;8.1905;1.3836;0.1689;0.1443;0.0948;-0.0495;-0.3431;0.002;0.0013;-0.0007;-0.343;54.1607;37.3468;-16.8139;-0.3104;-0.9994;-0.9992;0.0002;-0.0002;53.94996667;37.55753333;91.5075;0.589568797;0.410431203;
Tilia cordata;2;25;6.7151;10.5259;0.4869;6.2282;4.2977;0.69;0.0366;0.0959;0.0593;1.6189;0.0005;0.0013;0.0008;1.6118;47.8462;40.1;-7.7462;-0.1619;-0.9992;-0.9991;0.0002;-0.0002;47.22236667;40.72393333;87.9463;0.536945462;0.463054538;
Tilia cordata;20;30;12.2993;18.6375;0.7971;11.5023;7.1352;0.6203;0.1959;0.1954;-0.0005;-0.0028;0.0042;0.0044;0.0002;0.0476;78.9431;61.8593;-17.0838;-0.2164;-0.999;-0.9991;0;0;79.73253333;61.06986667;140.8024;0.566272545;0.433727455;
Tilia cordata;20;35;13.4705;18.1618;0.8621;12.6084;5.5535;0.4405;0.1909;0.1671;-0.0238;-0.1249;0.006;0.0052;-0.0008;-0.1348;94.5777;72.0772;-22.5005;-0.2379;-0.9992;-0.9989;0.0003;-0.0003;91.473;75.182;166.655;0.548876421;0.451123579;
Tilia cordata;21;30;12.8629;16.9169;0.8284;12.0345;4.8823;0.4057;0.1433;0.1276;-0.0157;-0.1094;0.0027;0.0025;-0.0002;-0.0798;118.1226;79.5763;-38.5463;-0.3263;-0.9992;-0.9991;0.0001;-0.0001;100.2006667;97.49813333;197.6988;0.506834977;0.493165023;
Tilia cordata;21;35;7.4114;11.7281;0.5256;6.8858;4.8423;0.7032;0.1163;0.1169;0.0006;0.0051;0.004;0.0038;-0.0002;-0.0401;80.915;40.0289;-40.8861;-0.5053;-0.9992;-0.9992;-0.0001;0.0001;60.07833333;60.86546667;120.9438;0.496745871;0.503254129;
Tilia cordata;3;25;8.9475;11.7293;0.6109;8.3366;3.3928;0.407;0.0825;0.1213;0.0388;0.4699;0.0011;0.0016;0.0005;0.4249;45.5402;49.7887;4.2485;0.0933;-0.9993;-0.999;0.0003;-0.0003;55.6363;39.6926;95.3289;0.583624693;0.416375307;
Tilia cordata;4;25;8.5828;10.8045;0.5906;7.9921;2.8123;0.3519;0.0953;0.0972;0.002;0.0207;0.0013;0.0013;0;0.0182;52.3891;42.135;-10.2541;-0.1957;-0.9992;-0.9991;0.0001;-0.0001;54.39523333;40.12886667;94.5241;0.575464176;0.424535824;
Tilia cordata;4;30;9.6936;13.2842;0.6523;9.0413;4.2429;0.4693;0.096;0.0927;-0.0033;-0.0341;0.002;0.0019;-0.0001;-0.0405;65.6977;42.4727;-23.2251;-0.3535;-0.9993;-0.9993;0;0;61.9064;46.264;108.1704;0.572304438;0.427695562;
Tilia cordata;4;35;11.4334;16.582;0.749;10.6844;5.8976;0.552;0.1847;0.1671;-0.0176;-0.0952;0.0058;0.0053;-0.0005;-0.0915;94.569;66.7349;-27.8342;-0.2943;-0.9992;-0.9991;0.0001;-0.0001;84.25703333;77.04686667;161.3039;0.522349635;0.477650365;
Tilia cordata;5;25;9.0296;12.3468;0.6155;8.4142;3.9326;0.4674;0.1064;0.0768;-0.0296;-0.2784;0.0014;0.001;-0.0004;-0.263;76.6655;49.9582;-26.7073;-0.3484;-0.9992;-0.999;0.0002;-0.0002;66.28706667;60.33653333;126.6236;0.523496936;0.476503064;
Tilia cordata;6;25;8.5004;11.5889;0.5861;7.9143;3.6746;0.4643;0.0731;0.0766;0.0034;0.0468;0.001;0.001;0.0001;0.0546;53.6634;53.9598;0.2964;0.0055;-0.9993;-0.999;0.0004;-0.0004;58.54213333;49.08106667;107.6232;0.543954587;0.456045413;
Tilia cordata;7;25;6.2708;10.1031;0.4622;5.8086;4.2945;0.7393;0.053;0.0656;0.0127;0.2392;0.0007;0.0009;0.0002;0.217;43.8967;37.9517;-5.945;-0.1354;-0.9994;-0.9992;0.0001;-0.0001;44.00496667;37.84353333;81.8485;0.537639256;0.462360744;
Tilia cordata;8;25;7.3918;2.8125;0.5245;6.8673;-4.0548;-0.5904;0.0679;0.0431;-0.0248;-0.3653;0.0009;0.0006;-0.0003;-0.3609;62.1469;22.3645;-39.7824;-0.6401;-0.9992;-0.999;0.0002;-0.0002;47.88193333;36.62946667;84.5114;0.566573661;0.433426339;
Tilia cordata;8;30;5.3862;8.5992;0.4131;4.9731;3.6261;0.7292;0.0639;0.0504;-0.0135;-0.2116;0.0012;0.001;-0.0002;-0.2035;44.8858;32.7915;-12.0942;-0.2694;-0.9991;-0.9991;0.0001;-0.0001;40.25563333;37.42166667;77.6773;0.518241923;0.481758077;
Tilia cordata;8;35;5.8513;9.7721;0.4389;5.4124;4.3597;0.8055;0.0735;0.0914;0.0179;0.2435;0.0023;0.0026;0.0003;0.1092;72.8537;38.6114;-34.2423;-0.47;-0.999;-0.999;-0.0001;0.0001;52.7585;58.7066;111.4651;0.473318554;0.526681446;
Tilia cordata;9;25;6.5209;9.8785;0.4761;6.0448;3.8336;0.6342;0.0646;0.083;0.0184;0.2847;0.0008;0.0011;0.0002;0.2615;48.3075;38.9318;-9.3757;-0.1941;-0.9994;-0.9993;0.0001;-0.0001;46.46886667;40.77053333;87.2394;0.532659173;0.467340827;
Betula pubescens;1;25;13.5632;18.7818;0.8673;12.696;6.0859;0.4794;0.1315;0.1184;-0.0131;-0.0996;0.0018;0.0016;-0.0002;-0.1008;91.2127;72.4697;-18.743;-0.2055;-0.999;-0.9989;0.0001;-0.0001;90.7296;72.9528;163.6824;0.554302723;0.445697277;
Betula pubescens;1;30;11.3297;16.1396;0.7432;10.5865;5.5531;0.5245;0.1129;0.132;0.0191;0.1691;0.0019;0.0022;0.0003;0.1509;96.422;56.3126;-40.1094;-0.416;-0.999;-0.999;0;0;81.12406667;71.61053333;152.7346;0.531144002;0.468855998;
Betula pubescens;1;35;13.5782;17.3577;0.8681;12.7101;4.6476;0.3657;0.1404;0.121;-0.0194;-0.1382;0.0039;0.0034;-0.0005;-0.1299;134.9371;73.8018;-61.1353;-0.4531;-0.999;-0.9988;0.0002;-0.0002;105.7881667;102.9507333;208.7389;0.506796609;0.493203391;
Betula pubescens;10;25;14.6096;21.1459;0.9254;13.6842;7.4617;0.5453;0.1461;0.1204;-0.0258;-0.1764;0.0024;0.002;-0.0004;-0.1659;111.7945;84.3403;-27.4542;-0.2456;-0.9992;-0.9989;0.0002;-0.0002;104.3372;91.7976;196.1348;0.53196679;0.46803321;
Betula pubescens;10;30;13.8098;19.4654;0.8809;12.9288;6.5366;0.5056;0.1497;0.1411;-0.0086;-0.0572;0.0032;0.003;-0.0002;-0.0616;116.5927;68.8596;-47.7331;-0.4094;-0.999;-0.999;0;0;98.64333333;86.80906667;185.4524;0.53190648;0.46809352;
Betula pubescens;10;35;14.7827;20.6233;0.935;13.8477;6.7756;0.4893;0.1609;0.1403;-0.0207;-0.1286;0.0045;0.0039;-0.0006;-0.1364;138.1711;95.5794;-42.5917;-0.3083;-0.999;-0.9989;0.0002;-0.0002;117.3373667;116.4131333;233.7505;0.501976965;0.498023035;
Betula pubescens;2;25;14.784;20.3232;0.9351;13.8489;6.4743;0.4675;0.1347;0.1412;0.0065;0.0485;0.0022;0.0024;0.0001;0.0561;117.0177;70.4272;-46.5905;-0.3981;-0.999;-0.9989;0;0;101.9056333;85.53926667;187.4449;0.543656474;0.456343526;
Betula pubescens;2;30;12.5963;18.4299;0.8135;11.7827;6.6472;0.5642;0.1335;0.1194;-0.0141;-0.1058;0.0029;0.0026;-0.0003;-0.098;95.7814;70.1044;-25.677;-0.2681;-0.9992;-0.9991;0.0001;-0.0001;88.88516667;77.00073333;165.8859;0.535821108;0.464178892;
Betula pubescens;2;35;11.1373;16.2515;0.7325;10.4048;5.8467;0.5619;0.1087;0.1095;0.0008;0.0074;0.0032;0.0031;-0.0001;-0.0284;130.6923;68.8836;-61.8087;-0.4729;-0.999;-0.9989;0.0001;-0.0001;96.22476667;103.3511333;199.5759;0.482146224;0.517853776;
Betula pubescens;3;25;6.6986;9.8369;0.486;6.2127;3.6242;0.5834;0.0483;0.0442;-0.0041;-0.0848;0.0008;0.0008;-0.0001;-0.0792;55.5116;40.7059;-14.8057;-0.2667;-0.9991;-0.999;0.0001;-0.0001;49.9357;46.2818;96.2175;0.51898771;0.48101229;
Betula pubescens;3;30;4.4096;6.0897;0.3589;4.0507;2.039;0.5034;0.0503;0.0691;0.0188;0.3735;0.0011;0.0015;0.0004;0.369;61.3752;25.5039;-35.8714;-0.5845;-0.9989;-0.999;-0.0001;0.0001;40.71863333;46.16046667;86.8791;0.468681574;0.531318426;
Betula pubescens;3;35;3.9694;5.568;0.3344;3.635;1.933;0.5318;0.047;0.0325;-0.0145;-0.3082;0.0014;0.0009;-0.0004;-0.3072;80.9462;33.1891;-47.7571;-0.59;-0.9989;-0.9988;0;0;48.63016667;65.50513333;114.1353;0.426074726;0.573925274;
Betula pubescens;8;25;9.6489;13.4724;0.6498;8.9991;4.4734;0.4971;0.0956;0.0947;-0.0009;-0.0093;0.0016;0.0016;0;-0.009;59.0131;45.8701;-13.1431;-0.2227;-0.9991;-0.9991;0;0;60.69146667;44.19173333;104.8832;0.578657656;0.421342344;
Betula pubescens;8;30;8.6141;12.1693;0.5924;8.0217;4.1476;0.517;0.0907;0.0859;-0.0047;-0.0524;0.002;0.0019;-0.0001;-0.0628;71.5616;46.3768;-25.1848;-0.3519;-0.9991;-0.9991;0;0;62.2837;55.6546;117.9383;0.528104102;0.471895898;
Betula pubescens;8;35;9.7393;14.0426;0.6549;9.0844;4.9582;0.5458;0.104;0.0985;-0.0054;-0.0524;0.0029;0.0028;-0.0001;-0.0321;92.2418;61.3377;-30.9041;-0.335;-0.9991;-0.999;0.0001;-0.0001;77.16463333;76.41486667;153.5795;0.502440972;0.497559028;
