sp,ecotype,treeid,tleaf,anet.21p,anet.0p,Rd,corranet,anet.delta,pr.CO2,pr,pr.percent,gsw.21p,gsw.0p,gsw.delta,gsw.percent,E.21p,E.0p,E.delta,E.percent,ETR.21p,ETR.0p,ETR.delta,ETR.percent,JT,JO1,JC1,JO2,JC2,JO1.percent,JC1.percent,JO2.percent,JC2.percent
#,,#,#,,,Calculated,anet.21p - Rd_calc,anet.0p - anet.21p (A),CO2 release correction (B),A+B,pr/anet.21p,C,D,D - C,D-C/C,E,F,F-E,F-E/E,G,H,H-G,H-G/G,,,,,,,,,
Acer platanoides,NA,6,30,13.80940639,17.34294153,0.880924431,12.92848196,3.53353514,1.76676757,5.30030271,0.383818287,0.231187806,0.176254075,-0.054933731,-0.237615175,0.004786702,0.003710485,-0.001076217,-0.224834761,83.11174248,54.3817139,-28.73002858,-0.345679536,137.4934564,52.77250295,84.72095343,54.83722055,82.65623583,0.383818287,0.616181713,0.39883513,0.60116487
Acer platanoides,NA,6,35,7.233456329,9.460146401,0.515696165,6.717760164,2.226690072,1.113345036,3.340035108,0.461748154,0.074223072,0.049145995,-0.025077077,-0.337860942,0.002252496,0.00148963,-0.000762866,-0.338675851,61.66608103,34.67219855,-26.99388248,-0.437742792,96.33827958,44.48402277,51.85425681,44.93630284,51.40197674,0.461748154,0.538251846,0.466442862,0.533557138
Acer platanoides,NA,7,30,5.242007173,8.310019382,0.405091078,4.836916095,3.068012209,1.534006105,4.602018314,0.877911487,0.070758062,0.099293287,0.028535225,0.403278781,0.001603679,0.002188551,0.000584872,0.364706403,48.59089258,22.9818681,-25.60902448,-0.527033424,71.57276068,62.83454878,8.738211904,33.73648799,37.83627269,0.877911487,0.122088513,0.471359323,0.528640677
Acer platanoides,NA,7,35,8.113982315,10.62757671,0.564600578,7.549381737,2.513594395,1.256797198,3.770391593,0.46467831,0.099869929,0.079011494,-0.020858435,-0.208856011,0.002874286,0.00225175,-0.000622536,-0.21658805,58.21884222,39.63487473,-18.58396749,-0.319208812,97.85371695,45.47049986,52.38321709,43.59852513,54.25519182,0.46467831,0.53532169,0.445547972,0.554452028
Acer platanoides,NA,8,25,7.755144631,8.656393424,0.544670733,7.210473898,0.901248793,0.450624396,1.35187319,0.174319533,0.097168694,0.107989219,0.010820525,0.11135814,0.001307996,0.001473529,0.000165533,0.126554668,38.18685711,35.82056509,-2.36629202,-0.061966137,74.0074222,12.90093927,61.10648293,28.65789578,45.34952642,0.174319533,0.825680467,0.387230023,0.612769977
Acer platanoides,NA,9,25,6.319735691,8.593680742,0.46494812,5.854787571,2.273945051,1.136972526,3.410917577,0.53972472,0.057207605,0.079236842,0.022029237,0.385075323,0.00077715,0.001082103,0.000304953,0.392399151,32.58073064,22.83310753,-9.74762311,-0.299183687,55.41383817,29.90821829,25.50561988,20.08993027,35.3239079,0.53972472,0.46027528,0.362543562,0.637456438
Acer platanoides,NA,9,30,5.809436124,6.603033472,0.436606082,5.372830042,0.793597348,0.396798674,1.190396022,0.204907326,0.075408294,0.026912076,-0.048496218,-0.643115172,0.00152671,0.000557993,-0.000968717,-0.634512776,33.09214437,22.81155856,-10.28058581,-0.310665447,55.90370293,11.45507828,44.44862465,21.77730562,34.12639731,0.204907326,0.795092674,0.389550325,0.610449675
Acer platanoides,NA,9,35,3.535764209,6.579330505,0.310326344,3.225437865,3.043566296,1.521783148,4.565349444,1.291191712,0.026464677,0.055967957,0.02950328,1.114817309,0.000793393,0.001645974,0.000852581,1.074601112,38.87619501,16.49063559,-22.38555942,-0.575816625,55.3668306,71.48919282,-16.12236222,27.48251584,27.88431476,1.291191712,-0.291191712,0.496371484,0.503628516
Fagus sylvatica,NA,1,25,5.674225469,6.877796544,0.429096483,5.245128986,1.203571075,0.601785538,1.805356613,0.318167937,0.118936586,0.109167131,-0.009769455,-0.082140032,0.001536228,0.001411096,-0.000125132,-0.081454055,10.94269206,23.94631365,13.00362159,1.188338438,34.88900571,11.10056298,23.78844273,8.128069223,26.76093649,0.318167937,0.681832063,0.232969357,0.767030643
Fagus sylvatica,NA,2,25,8.68494592,12.0774915,0.596311896,8.088634024,3.39254558,1.69627279,5.08881837,0.585935528,0.192489216,0.22056926,0.028080044,0.145878531,0.002422697,0.002753507,0.00033081,0.136546171,37.99147843,44.40934447,6.41786604,0.168929094,82.4008229,48.28156964,34.11925326,31.77402615,50.62679675,0.585935528,0.414064472,0.385603263,0.614396737
Fagus sylvatica,NA,2,30,10.34041404,14.24167651,0.688256596,9.652157444,3.90126247,1.950631235,5.851893705,0.565924506,0.250500478,0.204904419,-0.045596059,-0.182019848,0.004286212,0.004043707,-0.000242505,-0.056577929,56.57133151,12.66496981,-43.9063617,-0.776123887,69.23630132,39.18251961,30.05378171,18.58309677,50.65320455,0.565924506,0.434075494,0.268401062,0.731598938
Fagus sylvatica,NA,2,35,12.09496474,18.73807002,0.785704342,11.3092604,6.64310528,3.32155264,9.96465792,0.82386829,0.256733997,0.250245826,-0.006488171,-0.025271959,0.007760368,0.008010666,0.000250298,0.032253367,63.48822726,62.03152577,-1.45670149,-0.022944435,125.519753,103.4117443,22.10800872,51.42659605,74.09315698,0.82386829,0.17613171,0.409709188,0.590290812
Fagus sylvatica,NA,3,25,13.97339349,16.38143844,0.890032274,13.08336122,2.40804495,1.204022475,3.612067425,0.258496079,0.186987306,0.218487053,0.031499747,0.16845928,0.002425518,0.002835641,0.000410123,0.169086768,97.74002061,70.38395832,-27.35606229,-0.279885989,168.1239789,43.45938931,124.6645896,74.82026998,93.30370895,0.258496079,0.741503921,0.445030331,0.554969669
Fagus sylvatica,NA,3,30,15.00028524,22.84770747,0.947065842,14.0532194,7.84742223,3.923711115,11.77113335,0.784727301,0.241378717,0.233390045,-0.007988672,-0.033096008,0.00399251,0.003949206,-4.33E-05,-0.01084631,86.03357427,85.21054139,-0.82303288,-0.009566415,171.2441157,134.3799326,36.86418303,74.16198313,97.08213253,0.784727301,0.215272699,0.433077556,0.566922444
Fagus sylvatica,NA,3,35,13.69119397,24.27940162,0.874358913,12.81683506,10.58820765,5.294103825,15.88231148,1.160038453,0.217765733,0.236686335,0.018920602,0.086885121,0.006413417,0.006754837,0.00034142,0.053235272,126.0299156,89.72240352,-36.30751208,-0.288086459,215.7523191,250.2809865,-34.52866742,107.3250288,108.4272903,1.160038453,-0.160038453,0.49744554,0.50255446
Fagus sylvatica,NA,4,30,9.129552058,12.56708014,0.621005321,8.508546737,3.437528082,1.718764041,5.156292123,0.56479136,0.165644875,0.186051543,0.020406668,0.123195288,0.002913574,0.003174064,0.00026049,0.089405658,58.99390267,44.32527535,-14.66862732,-0.248646498,103.319178,58.35377907,44.96539895,44.53397986,58.78519816,0.56479136,0.43520864,0.431033045,0.568966955
