"sp","treeid","setTleaf","anet.21p","anet.0p","anet.delta","pr.proxy","gsw.21p","gsw.0p","gsw.delta","gsw.percent","E.21p","E.0p","E.delta","E.percent","ETR.21p","ETR.0p","ETR.delta","ETR.percent","Ca.21p","Ci.21p","C.21p","Ca.0p","Ci.0p","C.0p","Ca.delta","Ci.delta","C.delta","Ca.prop","Ci.prop","C.prop","NPQ.21p","NPQ.0p"
"Fagus sylvatica","5","35","13.12714446","22.37402259","9.24687813","0.704408956431946","0.223945785","0.238559764","0.014613979","0.0652567718566349","0.006574664","0.006873792","0.000299128","0.0454970778734853","109.3661506","83.10896056","-26.25719004","-0.240085162510968","414.7170968","300.2591909","114.4579059","411.5806","300.2591909","111.3214091","-3.13649679999997","0","-3.13649679999997","-0.00756297925550094","0","-0.0274030594508717","-0.998975585","-0.998930647"
"Fagus sylvatica","6","35","13.31004005","20.28290316","6.97286311","0.523879949557327","0.220165347","0.208046729","-0.012118618","-0.0550432580109893","0.006577283","0.006127359","-0.000449924","-0.0684057535611589","64.33808473","71.54524756","7.20716283","0.112020164421205","414.6599677","297.0030161","117.6569516","412.3880968","297.0030161","115.3850807","-2.27187089999995","0","-2.27187089999995","-0.00547887685565928","0","-0.0193092789597649","-0.999436487","-0.999164443"
"Fagus sylvatica","7","25","10.15444349","11.05723168","0.902788189999999","0.0889057279100579","0.129371605","0.161913735","0.03254213","0.251539972778416","0.001673031","0.002107384","0.000434353","0.259620413489051","44.92058567","35.05664576","-9.86393991","-0.219586182211947","416.3838333","280.8911011","135.4927322","416.0534194","280.8911011","135.1623183","-0.330413899999996","0","-0.330413899999996","-0.000793532009591585","0","-0.00243860976625871","-0.999506734","-0.999041809"
"Fagus sylvatica","7","30","10.83156006","14.81690751","3.98534745","0.367938452810463","0.192479836","0.180572748","-0.011907088","-0.0618614824671816","0.00408488","0.003885554","-0.000199326","-0.0487960478643192","42.71963749","44.56182436","1.84218687000001","0.0431227177531933","415.8433","310.388828","105.454472","414.5077742","310.388828","104.1189462","-1.33552580000003","0","-1.33552580000003","-0.00321160831495909","0","-0.0126644776145674","-0.999420301","-0.999105958"
"Fagus sylvatica","7","35","8.669547615","14.54900179","5.879454175","0.678173122300799","0.203396366","0.18054417","-0.022852196","-0.112353020112464","0.005868231","0.005075751","-0.00079248","-0.135045808523898","62.18766309","44.69502378","-17.49263931","-0.281287934629158","416.2979032","328.1958641","88.1020391","414.428871","328.1958641","86.2330069","-1.86903219999999","0","-1.86903219999999","-0.00448965076603343","0","-0.0212144034246307","-0.999059922","-0.999105571"
"Fagus sylvatica","8","25","7.036040127","7.918180624","0.882140497","0.125374568802541","0.135935902","0.130275757","-0.00566014500000001","-0.0416383377512734","0.0017425","0.00171383","-2.867e-05","-0.0164533715925394","9.438951246","29.24880057","19.809849324","2.09873415040627","417.4419","325.0846254","92.3572746","417.1436333","325.0846254","92.0590079","-0.298266699999999","0","-0.298266699999999","-0.000714510689990629","0","-0.00322948789136313","-0.999608215","-0.999186357"
"Fagus sylvatica","9","25","5.403083029","9.072700894","3.669617865","0.679171103850161","0.061724308","0.097991616","0.036267308","0.587569292797904","0.000824171","0.00127741","0.000453239","0.54993320560903","17.86607444","30.99895905","13.13288461","0.735073877258512","418.0788667","269.252348","148.8265187","416.8321935","269.252348","147.5798455","-1.24667319999998","0","-1.24667319999998","-0.00298190915470154","0","-0.0083766872388716","-0.999517512","-0.999237838"
"Betula pendula","1","25","19.69518076","25.90993649","6.21475573","0.315547026743816","0.250855986","0.195846505","-0.055009481","-0.219287097259062","0.003118574","0.002502789","-0.000615785","-0.197457235262014","137.745437","110.5823041","-27.1631329","-0.197198059635181","413.0030968","275.3483842","137.6547126","410.9977333","275.3483842","135.6493491","-2.00536349999999","0","-2.00536349999999","-0.00485556528640535","0","-0.0145680700800067","-0.999397316","-0.999120485"
"Betula pendula","1","30","18.06021899","25.74222957","7.68201058","0.425355339503555","0.207346783","0.235587883","0.0282411","0.136202257837779","0.00345084","0.003907414","0.000456574","0.132308075714898","164.6401098","105.4954131","-59.1446967","-0.359236256413138","413.5325806","257.9635437","155.5690369","410.9049667","257.9635437","152.941423","-2.62761390000003","0","-2.62761390000003","-0.006354067426048","0","-0.0168903398282851","-0.999051378","-0.99898278"
"Betula pendula","1","35","20.51677759","27.47157431","6.95479672","0.338980948128512","0.197091658","0.170022284","-0.027069374","-0.137344087896404","0.004689835","0.004324042","-0.000365793","-0.0779969871008254","207.9359841","130.3735091","-77.562475","-0.37301131564943","412.5334194","225.4951911","187.0382283","410.2286129","225.4951911","184.7334218","-2.30480650000004","0","-2.30480650000004","-0.00558695705999338","0","-0.0123226493372427","-0.999111999","-0.998906635"
"Betula pendula","1b","35","11.1931296","16.63944761","5.44631801","0.486576873906651","0.089310752","0.039100577","-0.050210175","-0.562196307562162","0.002600217","0.001097261","-0.001502956","-0.578011758249408","137.9838367","47.06052944","-90.92330726","-0.658941724150507","415.8906129","198.0571028","217.8335101","414.2573667","198.0571028","216.2002639","-1.63324620000003","0","-1.63324620000003","-0.00392710522752948","0","-0.00749768113845414","-0.999182808","-0.999257129"
"Betula pendula","2","25","17.20816325","23.92167556","6.71351231","0.390135321967032","0.207559283","0.220740883","0.0131816","0.0635076389235744","0.002625467","0.002790877","0.00016541","0.0630021249552938","123.5885614","103.4655928","-20.1229686","-0.162822257756291","413.8717419","269.7762483","144.0954936","411.6967333","269.7762483","141.920485","-2.17500860000001","0","-2.17500860000001","-0.00525527205606016","0","-0.0150942166591115","-0.99921451","-0.999007673"
"Betula pendula","3a","25","15.19964411","16.11925782","0.919613710000002","0.060502318563826","0.230912795","0.225166914","-0.00574588100000001","-0.0248833374521321","0.002890727","0.002820919","-6.98080000000002e-05","-0.0241489424632628","84.08462626","71.83886756","-12.2457587","-0.145636119760283","414.5340645","298.0215655","116.512499","414.2579333","298.0215655","116.2363678","-0.276131200000009","0","-0.276131200000009","-0.000666124267333907","0","-0.00236997062435343","-0.999305966","-0.999060324"
"Betula pendula","3b","35","12.09141349","17.0836679","4.99225441","0.412875997841671","0.199276025","0.153200461","-0.046075564","-0.231214788633003","0.005532129","0.00425919","-0.001272939","-0.230099298118319","109.986559","58.08311809","-51.90344091","-0.471907125578863","415.2138333","298.7491232","116.4647101","413.7190323","298.7491232","114.9699091","-1.494801","0","-1.494801","-0.00360007514229415","0","-0.0128347977573337","-0.999119074","-0.999163226"
"Betula pendula","3c","30","8.074479713","17.16281567","9.088335957","1.12556304307356","0.11740323","0.153446509","0.036043279","0.307004151419003","0.002066109","0.002639019","0.00057291","0.277289339526617","42.54282121","60.72059819","18.17777698","0.427281888294874","417.0665806","294.7942716","122.272309","413.8824194","294.7942716","119.0881478","-3.18416120000001","0","-3.18416120000001","-0.00763465918419838","0","-0.026041556146617","-0.999296887","-0.999106119"
"Betula pendula","3c","35","11.97488078","18.76436592","6.78948514","0.566977263885545","0.182834679","0.18544481","0.00261013099999999","0.0142759076903566","0.005121222","0.005348542","0.00022732","0.0443878433701957","79.9000513","75.94046466","-3.95958664","-0.0495567471556805","415.2958065","291.215566","124.0802405","412.9916452","291.215566","121.7760792","-2.30416130000003","0","-2.30416130000003","-0.00554824119082462","0","-0.0185699293514831","-0.999200681","-0.999078201"
"Betula pendula","4","25","21.53496978","21.4209041","-0.11406568","-0.00529676526901537","0.242328464","0.198235474","-0.04409299","-0.181955471809535","0.003125192","0.002586148","-0.000539044","-0.172483482614828","191.1167359","97.36311652","-93.75361938","-0.490556826112056","412.4466129","257.7004632","154.7461497","412.4915","257.7004632","154.7910368","0.0448870999999826","0","0.0448870999999826","0.000108831297423858","0","0.000290069252689023","-0.999273609","-0.998978434"
"Betula pendula","4","30","16.27244868","24.7043991","8.43195042","0.518173422194502","0.208617872","0.661106997","0.452489125","2.16898543093182","0.003625881","0.008696744","0.005070863","1.39851887031042","153.6647036","99.10908949","-54.55561411","-0.355030223804759","414.0864333","273.1122431","140.9741902","410.7150968","273.1122431","137.6028537","-3.37133649999998","0","-3.37133649999998","-0.00814162510259663","0","-0.0239145654620684","-0.999085547","-0.99902161"
"Betula pendula","4","35","17.13041824","23.73136879","6.60095055","0.385335048889034","0.151651179","0.137735183","-0.013915996","-0.0917631903145309","0.003786372","0.003532429","-0.000253943","-0.0670676309670576","202.8536743","108.3673698","-94.4863045","-0.465785521637948","413.7813667","213.5936118","200.1877549","411.6078333","213.5936118","198.0142215","-2.1735334","0","-2.1735334","-0.00525285470763079","0","-0.0108574742800115","-0.999193466","-0.998997297"
"Betula pendula","4c","30","11.83990266","15.97358035","4.13367769","0.349131053582496","0.143607712","0.129988975","-0.013618737","-0.0948329084165062","0.002478221","0.002272383","-0.000205838","-0.0830587748227458","97.2305542","46.43281263","-50.79774157","-0.522446282323052","415.7334839","271.1524253","144.5810586","414.3728667","271.1524253","143.2204414","-1.36061720000004","0","-1.36061720000004","-0.00327281119441252","0","-0.00941075693576389","-0.999292176","-0.999337245"
"Betula pendula","4c","35","15.46996421","24.91297209","9.44300788","0.610409161379695","0.202074767","0.204564725","0.00248995800000001","0.012321963978808","0.005623142","0.005445138","-0.000178004","-0.0316556117558475","131.4383922","99.55117459","-31.88721761","-0.24260200597615","414.0679","271.9473358","142.1205642","410.9807667","271.9473358","139.0334309","-3.0871333","0","-3.0871333","-0.00745562092593994","0","-0.0217219324830122","-0.999174285","-0.999076417"
"Betula pendula","5","25","18.19697383","15.61752099","-2.57945284","-0.141751747521198","0.224311213","0.209479928","-0.014831285","-0.066119231409087","0.002839823","0.0026648","-0.000175023","-0.0616316580293912","130.8988736","69.92226876","-60.97660484","-0.465829866697952","413.5331333","271.9987817","141.5343516","414.4554","271.9987817","142.4566183","0.922266700000023","0","0.922266700000023","0.00223021234753385","0","0.00651620394324132","-0.999340429","-0.999071181"
"Betula pendula","6","25","12.55647768","18.0812622","5.52478452","0.439994770890239","0.105641764","0.150544563","0.044902799","0.42504779643778","0.001422685","0.001995294","0.000572609","0.402484738364431","104.6909798","76.97771412","-27.71326568","-0.264714932775899","415.6536452","213.7756334","201.8780118","413.6841667","213.7756334","199.9085333","-1.96947850000004","0","-1.96947850000004","-0.00473826832206026","0","-0.00975578510229828","-0.999104026","-0.99902072"
"Betula pendula","6","30","13.49763365","18.14177174","4.64413809","0.344070539357097","0.115709896","0.137152229","0.021442333","0.185311142272567","0.002013783","0.00239893","0.000385147","0.191255462976895","145.9208689","78.8650131","-67.0558558","-0.459535749104904","415.2500323","214.490739","200.7592933","413.6400667","214.490739","199.1493277","-1.60996560000001","0","-1.60996560000001","-0.00387709927698905","0","-0.00801938268229603","-0.999149544","-0.999022973"
"Betula pendula","7","25","17.26105365","19.06875977","1.80770612","0.104727449242358","0.703727388","0.191646841","-0.512080547","-0.727668918010052","0.008986075","0.002524611","-0.006461464","-0.719052979192807","174.469869","88.35443441","-86.11543459","-0.493583419782358","413.197","358.2994941","54.8975059","413.3006333","358.2994941","55.0011392","0.103633300000013","0","0.103633300000013","0.000250808452142713","0","0.00188775971332448","-0.999097978","-0.998933351"
"Betula pendula","7","30","13.99778438","21.8312932","7.83350882","0.559624909724463","0.207983878","0.204945245","-0.00303863300000001","-0.0146099449112109","0.003994977","0.003889986","-0.000104991","-0.0262807520543924","101.0715093","89.53379663","-11.53771267","-0.114153956440423","414.7715161","292.3598307","122.4116854","412.1902581","292.3598307","119.8304274","-2.58125799999999","0","-2.58125799999999","-0.00622332513155908","0","-0.0210866960255086","-0.999203964","-0.999153021"
"Betula pendula","7","35","16.44847315","23.76678089","7.31830774","0.444923226202305","0.20698331","0.194493612","-0.012489698","-0.0603415705353248","0.005567036","0.005342086","-0.00022495","-0.0404074987120615","152.2777365","98.70405628","-53.57368022","-0.351815580211228","413.7361613","267.3382379","146.3979234","411.3344839","267.3382379","143.996246","-2.40167739999998","0","-2.40167739999998","-0.00580485252353499","0","-0.0164051329706223","-0.999087151","-0.999087284"
"Corylus avellana","1","25","11.70895651","14.5230801","2.81412359","0.240339400662784","0.2543567","0.231184181","-0.023172519","-0.0911024517930921","0.003192318","0.002924852","-0.000267466","-0.0837842595881739","60.89153905","46.6919863","-14.19955275","-0.233194183814935","415.615","331.2368785","84.3781215","414.7597667","331.2368785","83.5228882","-0.855233300000009","0","-0.855233300000009","-0.00205775369031437","0","-0.0101357233936526","-0.999319089","-0.999002125"
"Corylus avellana","1","30","7.762559501","12.03806899","4.275509489","0.550786050457869","0.115413526","0.108386561","-0.007026965","-0.0608851080418425","0.001994781","0.001866866","-0.000127915","-0.0641248337536803","47.03058206","42.95053979","-4.08004227","-0.0867529613984964","417.1599333","297.5402677","119.6196656","415.7266452","297.5402677","118.1863775","-1.43328809999997","0","-1.43328809999997","-0.00343582397442092","0","-0.0119820440293888","-0.999081699","-0.999038879"
"Corylus avellana","1","35","4.808796951","8.364961175","3.556164224","0.73951224396374","0.067035708","0.071745982","0.004710274","0.0702651488367961","0.002082468","0.002140747","5.82790000000001e-05","0.0279855440755873","49.2638639","28.24722051","-21.01664339","-0.426613783942351","418.0978387","284.4721871","133.6256516","416.8980645","284.4721871","132.4258774","-1.19977420000004","0","-1.19977420000004","-0.00286960153568485","0","-0.00897862188609927","-0.998864427","-0.998921401"
