sp;treeid;setTleaf;anet.21p;anet.0p;Rd;corranet;anet.delta;pr.CO2;pr.real;pr.percent;gsw.21p;gsw.0p;gsw.delta;gsw.percent;E.21p;E.0p;E.delta;E.percent;ETR.21p;ETR.0p;ETR.delta;ETR.percent;JT;JO1;JC1;JO2;JC2;JO1.percent;JC1.percent;JO2.percent;JC2.percent;NPQ.21p;NPQ.0p;NPQ.delta;NPQ.percent;cat
Acer platanoides;9;25;6.319735691;8.593680742;0.46494812;5.854787571;2.273945051;1.136972526;3.410917577;0.53972472;0.057207605;0.079236842;0.022029237;0.385075323;0.00077715;0.001082103;0.000304953;0.392399151;32.58073064;22.83310753;-9.74762311;-0.299183687;55.41383817;29.90821829;25.50561988;20.08993027;35.3239079;0.53972472;0.46027528;0.362543562;0.637456438;-0.999340101;-0.999150778;0.000189323;-0.000189448;1
Acer platanoides;9;30;5.809436124;6.603033472;0.436606082;5.372830042;0.793597348;0.396798674;1.190396022;0.204907326;0.075408294;0.026912076;-0.048496218;-0.643115172;0.00152671;0.000557993;-0.000968717;-0.634512776;33.09214437;22.81155856;-10.28058581;-0.310665447;55.90370293;11.45507828;44.44862465;21.77730562;34.12639731;0.204907326;0.795092674;0.389550325;0.610449675;-0.999286273;-0.99914987;0.000136403;-0.0001365;1
Acer platanoides;9;35;3.535764209;6.579330505;0.310326344;3.225437865;3.043566296;1.521783148;4.565349444;1.291191712;0.026464677;0.055967957;0.02950328;1.114817309;0.000793393;0.001645974;0.000852581;1.074601112;38.87619501;16.49063559;-22.38555942;-0.575816625;55.3668306;71.48919282;-16.12236222;27.48251584;27.88431476;1.291191712;-0.291191712;0.496371484;0.503628516;-0.999199256;-0.999257432;-5.82E-05;5.82E-05;1
Fagus sylvatica;1;25;5.674225469;6.877796544;0.429096483;5.245128986;1.203571075;0.601785538;1.805356613;0.318167937;0.118936586;0.109167131;-0.009769455;-0.082140032;0.001536228;0.001411096;-0.000125132;-0.081454055;10.94269206;23.94631365;13.00362159;1.188338438;34.88900571;11.10056298;23.78844273;8.128069223;26.76093649;0.318167937;0.681832063;0.232969357;0.767030643;-0.999544372;-0.999161746;0.000382626;-0.0003828;5
Fagus sylvatica;2;25;8.68494592;12.0774915;0.596311896;8.088634024;3.39254558;1.69627279;5.08881837;0.585935528;0.192489216;0.22056926;0.028080044;0.145878531;0.002422697;0.002753507;0.00033081;0.136546171;37.99147843;44.40934447;6.41786604;0.168929094;82.4008229;48.28156964;34.11925326;31.77402615;50.62679675;0.585935528;0.414064472;0.385603263;0.614396737;-0.999431894;-0.999198412;0.000233482;-0.000233615;5
Fagus sylvatica;2;30;10.34041404;14.24167651;0.688256596;9.652157444;3.90126247;1.950631235;5.851893705;0.565924506;0.250500478;0.204904419;-0.045596059;-0.182019848;0.004286212;0.004043707;-0.000242505;-0.056577929;56.57133151;12.66496981;-43.9063617;-0.776123887;69.23630132;39.18251961;30.05378171;18.58309677;50.65320455;0.565924506;0.434075494;0.268401062;0.731598938;-0.999224632;-0.999473031;-0.000248399;0.000248592;5
Fagus sylvatica;2;35;12.09496474;18.73807002;0.785704342;11.3092604;6.64310528;3.32155264;9.96465792;0.82386829;0.256733997;0.250245826;-0.006488171;-0.025271959;0.007760368;0.008010666;0.000250298;0.032253367;63.48822726;62.03152577;-1.45670149;-0.022944435;125.519753;103.4117443;22.10800872;51.42659605;74.09315698;0.82386829;0.17613171;0.409709188;0.590290812;-0.999282424;-0.99903592;0.000246504;-0.000246681;5
Fagus sylvatica;3;25;13.97339349;16.38143844;0.890032274;13.08336122;2.40804495;1.204022475;3.612067425;0.258496079;0.186987306;0.218487053;0.031499747;0.16845928;0.002425518;0.002835641;0.000410123;0.169086768;97.74002061;70.38395832;-27.35606229;-0.279885989;168.1239789;43.45938931;124.6645896;74.82026998;93.30370895;0.258496079;0.741503921;0.445030331;0.554969669;-0.999243845;-0.998794145;0.0004497;-0.00045004;5
Fagus sylvatica;3;30;15.00028524;22.84770747;0.947065842;14.0532194;7.84742223;3.923711115;11.77113335;0.784727301;0.241378717;0.233390045;-0.007988672;-0.033096008;0.00399251;0.003949206;-4.33E-05;-0.01084631;86.03357427;85.21054139;-0.82303288;-0.009566415;171.2441157;134.3799326;36.86418303;74.16198313;97.08213253;0.784727301;0.215272699;0.433077556;0.566922444;-0.999157485;-0.998874621;0.000282864;-0.000283103;5
Fagus sylvatica;3;35;13.69119397;24.27940162;0.874358913;12.81683506;10.58820765;5.294103825;15.88231148;1.160038453;0.217765733;0.236686335;0.018920602;0.086885121;0.006413417;0.006754837;0.00034142;0.053235272;126.0299156;89.72240352;-36.30751208;-0.288086459;215.7523191;250.2809865;-34.52866742;107.3250288;108.4272903;1.160038453;-0.160038453;0.49744554;0.50255446;-0.998801993;-0.998739778;6.22E-05;-6.23E-05;5
Fagus sylvatica;4;30;9.129552058;12.56708014;0.621005321;8.508546737;3.437528082;1.718764041;5.156292123;0.56479136;0.165644875;0.186051543;0.020406668;0.123195288;0.002913574;0.003174064;0.00026049;0.089405658;58.99390267;44.32527535;-14.66862732;-0.248646498;103.319178;58.35377907;44.96539895;44.53397986;58.78519816;0.56479136;0.43520864;0.431033045;0.568966955;-0.999168924;-0.999166263;2.66E-06;-2.66E-06;5
Fagus sylvatica;4;35;7.564701251;14.18716725;0.534093507;7.030607744;6.622465999;3.311233;9.933698999;1.313164746;0.162245804;0.172137925;0.009892121;0.060969965;0.004845028;0.005165217;0.000320189;0.066086099;42.81938435;50.32871065;7.5093263;0.175372122;93.148095;122.3187945;-29.17069953;41.92619333;51.22190167;1.313164746;-0.313164746;0.450102531;0.549897469;-0.999301125;-0.999221888;7.92E-05;-7.93E-05;5
Fagus sylvatica;5;25;7.202399237;11.29824117;0.513971254;6.688427983;4.095841933;2.047920967;6.1437629;0.853016154;0.100789606;0.166641259;0.065851653;0.653357579;0.001336317;0.002127968;0.000791651;0.592412579;249.6077619;58.31444113;-191.2933208;-0.76637569;307.922203;262.6626135;45.25958955;186.0750707;121.8471323;0.853016154;0.146983846;0.604292477;0.395707523;-0.999142487;-0.999056426;8.61E-05;-8.61E-05;5
Fagus sylvatica;5;30;16.99801688;25.62265046;1.058019858;15.93999702;8.62463358;4.31231679;12.93695037;0.761085864;0.243152147;0.239643592;-0.003508555;-0.014429463;0.003976285;0.003805106;-0.000171179;-0.043049983;119.0846806;105.5457167;-13.5389639;-0.113691903;224.6303973;170.9630201;53.6673772;104.4255532;120.2048441;0.761085864;0.238914136;0.464877214;0.535122786;-0.999251758;-0.999084777;0.000166981;-0.000167106;5
Fagus sylvatica;5;35;13.12714446;22.37402259;0.843031603;12.28411286;9.24687813;4.623439065;13.8703172;1.056613435;0.223945785;0.238559764;0.014613979;0.065256772;0.006574664;0.006873792;0.000299128;0.045497078;109.3661506;83.10896056;-26.25719004;-0.240085163;192.4751112;203.3717883;-10.89667713;93.31102221;99.16408895;1.056613435;-0.056613435;0.484795263;0.515204737;-0.998975585;-0.998930647;4.49E-05;-4.50E-05;5
Fagus sylvatica;6;25;9.036363498;11.87591981;0.615829629;8.420533869;2.839556312;1.419778156;4.259334468;0.471354928;0.135956068;0.169413735;0.033457667;0.246091752;0.001813141;0.002238076;0.000424935;0.234364013;297.5791406;46.1725795;-251.4065611;-0.844839328;343.7517201;162.0290674;181.7226527;205.0708441;138.680876;0.471354928;0.528645072;0.596566743;0.403433257;-0.999476007;-0.999130712;0.000345295;-0.000345476;5
Fagus sylvatica;6;35;13.31004005;20.28290316;0.853189624;12.45685043;6.97286311;3.486431555;10.45929467;0.785819924;0.220165347;0.208046729;-0.012118618;-0.055043258;0.006577283;0.006127359;-0.000449924;-0.068405754;64.33808473;71.54524756;7.20716283;0.112020164;135.8833323;106.7798299;29.10350239;55.09544806;80.78788423;0.785819924;0.214180076;0.405461414;0.594538586;-0.999436487;-0.999164443;0.000272044;-0.000272197;5
Fagus sylvatica;7;25;10.15444349;11.05723168;0.677927791;9.476515699;0.90278819;0.451394095;1.354182285;0.133358592;0.129371605;0.161913735;0.03254213;0.251539973;0.001673031;0.002107384;0.000434353;0.259620413;44.92058567;35.05664576;-9.86393991;-0.219586182;79.97723143;10.66565096;69.31158047;26.23963831;53.73759312;0.133358592;0.866641408;0.328088855;0.671911145;-0.999506734;-0.999041809;0.000464925;-0.000465154;5
Fagus sylvatica;7;30;10.83156006;14.81690751;0.715534846;10.11602521;3.98534745;1.992673725;5.978021175;0.551907679;0.192479836;0.180572748;-0.011907088;-0.061861482;0.00408488;0.003885554;-0.000199326;-0.048796048;42.71963749;44.56182436;1.84218687;0.043122718;87.28146185;48.17130905;39.1101528;29.30348107;57.97798078;0.551907679;0.448092321;0.335735452;0.664264548;-0.999420301;-0.999105958;0.000314343;-0.000314525;5
