"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"Rd";"corranet";"anet.delta";"pr.real";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Docksta";"1";"25";15.17331339;24.184558;0.9566758256806;14.2166375643194;9.9679204356806;0.701144725015559;0.175397422;0.160418549;-0.014978873;-0.0853996189294048;0.002017328;0.001843023;-0.000174305;-0.0864038966395153;122.2462884;91.40328265;-30.84300575;-0.252302185642472;-0.999160187;-0.999000075;0.00016011199999999;-0.000160246577158693
"Docksta";"1";"30";15.82024034;23.67534569;0.9926061484836;14.8276341915164;8.8477114984836;0.596704193278912;0.197195252;0.192783929;-0.00441132299999999;-0.0223703307014714;0.00370592;0.003613802;-9.2118e-05;-0.024856985579829;139.1233219;75.98847447;-63.13484743;-0.453804916154751;-0.999045319;-0.999116335;-7.10159999999238e-05;7.10838624127759e-05
"Docksta";"1";"35";12.11037196;17.2626133;0.7865600586584;11.3238119013416;5.9388013986584;0.524452494478012;0.171963468;0.140463133;-0.031500335;-0.183180389220808;0.005585843;0.004447861;-0.001137982;-0.203726098280958;126.1847559;77.05917988;-49.12557602;-0.389314665385821;-0.999052717;-0.99887644;0.000176277000000002;-0.000176444142536677
"Docksta";"2";"25";11.08844663;15.92457052;0.7298023258302;10.3586443041698;5.5659262158302;0.537321878461419;0.183785024;0.199925625;0.016140601;0.0878232657302915;0.0023498;0.00252599;0.00017619;0.0749808494339944;67.79399892;54.71487602;-13.0791229;-0.192924493441285;-0.999146577;-0.999143868;2.70899999998964e-06;-2.71131389763009e-06
"Docksta";"2";"30";11.24683073;16.2682304;0.7385989787442;10.5082317512558;5.7599986487442;0.54814156987505;0.143337459;0.140888901;-0.00244855799999999;-0.0170824710936168;0.002603247;0.002609541;6.294e-06;0.00241774983318909;69.62390954;54.17325377;-15.45065577;-0.221915946290309;-0.999241075;-0.999163861;7.72140000000476e-05;-7.72726441415027e-05
"Docksta";"2";"35";13.04662644;21.01300106;0.8385596324776;12.2080668075224;8.8049342524776;0.721239029184551;0.201041534;0.186220571;-0.014820963;-0.0737209008761344;0.006090291;0.005880605;-0.000209686000000001;-0.0344295535303651;115.7058649;76.59733384;-39.10853106;-0.337999556840096;-0.999013349;-0.999010533;2.81600000007209e-06;-2.81878115331579e-06
"Docksta";"5";"25";11.74860285;16.3762034;0.766467402289;10.982135447711;5.394067952289;0.491167494516131;0.117275052;0.128883465;0.011608413;0.0989845052466913;0.00151785;0.00169728;0.00017943;0.118213262180057;87.91482552;59.73971552;-28.17511;-0.320481896350808;-0.999175081;-0.998971181;0.000203899999999924;-0.000204068339850765
"Docksta";"5";"30";10.984844;16.80434944;0.72404823576;10.26079576424;6.54355367576;0.637723800971168;0.178422182;0.123543582;-0.0548786;-0.307577227140962;0.003047327;0.00206752;-0.000979807;-0.321529983490449;91.87802695;51.52267974;-40.35534721;-0.439227403435224;-0.99887814;-0.998911364;-3.32240000000539e-05;3.32613145383819e-05
"Docksta";"5";"35";12.07073134;17.02215767;0.7843584186236;11.2863729213764;5.7357847486236;0.508204432777515;0.143956601;0.133159537;-0.010797064;-0.0750022154246334;0.004287368;0.003908033;-0.000379335;-0.0884773595362002;142.9533267;82.11977958;-60.83354712;-0.425548313735045;-0.999029434;-0.998830549;0.000198884999999982;-0.000199078218550247
"Docksta";"8";"25";15.59016914;21.37935663;0.9798279940356;14.6103411459644;6.7690154840356;0.463303041072748;0.180837468;0.092264211;-0.088573257;-0.489794830571284;0.002339888;0.001192056;-0.001147832;-0.49054997504154;127.9775965;83.43778776;-44.53980874;-0.348028170227435;-0.999083126;-0.999062435;2.06910000000171e-05;-2.07099884499672e-05
"Docksta";"8";"30";12.98271734;18.713025;0.8350101210636;12.1477072189364;6.5653177810636;0.540457360614461;0.142353888;0.163530184;0.021176296;0.148758114706358;0.002609455;0.00291075;0.000301295;0.115462807367822;119.028133;82.79775751;-36.23037549;-0.304384976701264;-0.998962555;-0.998838387;0.000124167999999925;-0.000124296951250515
"Docksta";"8";"35";10.43771417;17.76710743;0.6936606450018;9.7440535249982;8.0230539050018;0.823379498523771;0.182338139;0.186706047;0.004367908;0.0239549883746483;0.005621789;0.005306847;-0.000314942;-0.0560216685471476;132.8577973;71.18050642;-61.67729088;-0.464235386506743;-0.998925465;-0.998952349;-2.68839999999493e-05;2.69129188732307e-05
"Dunker";"2";"25";5.768726596;8.188174837;0.43434507514184;5.33438152085816;2.85379331614184;0.534981104179204;0.046114005;0.049918697;0.003804692;0.08250621476057;0.00061881;0.000665045;4.62349999999999e-05;0.0747159871366008;56.59642927;31.16832679;-25.42810248;-0.449288105415489;-0.999228624;-0.999160734;6.78899999999594e-05;-6.7942409143755e-05
"Dunker";"2";"30";5.959793602;8.234023518;0.44495693665508;5.51483666534492;2.71918685265508;0.493067522696071;0.056213627;0.064285296;0.008071669;0.14358918701332;0.001247185;0.001376397;0.000129212;0.103602913761791;79.03139148;32.59310757;-46.43828391;-0.587592892398356;-0.999133504;-0.999127301;6.20299999998242e-06;-6.20837953601686e-06
"Dunker";"2";"35";6.8148736;8.71733231;0.492448079744;6.322425520256;2.394906789744;0.378795571742382;0.070372217;0.060199982;-0.010172235;-0.144549019963376;0.002531923;0.002191129;-0.000340794;-0.134598879981737;116.5371304;46.66341575;-69.87371465;-0.599583277966144;-0.99912856;-0.999069372;5.91880000000433e-05;-5.92396237777882e-05
"Dunker";"5";"25";8.488197109;11.56551549;0.58538446743386;7.90281264156614;3.66270284843386;0.463468263080068;0.052162307;0.097070555;0.044908248;0.860932933813683;0.001014673;0.001818115;0.000803442;0.791823572717516;78.29481002;46.94898943;-31.34582059;-0.400356301803311;-0.998936156;-0.998908406;2.77499999999931e-05;-2.77795531108928e-05
"Dunker";"5";"30";8.337346201;11.71149506;0.57700620800354;7.76033999299646;3.95115506700354;0.50914715986276;0.064568704;0.057122122;-0.00744658200000001;-0.115328038797248;0.00168105;0.00147341;-0.00020764;-0.123518039320663;97.46061411;51.02206125;-46.43855286;-0.476485329833717;-0.998968104;-0.998926279;4.18250000000508e-05;-4.18682036319058e-05
"Dunker";"5";"35";7.051942731;12.34888551;0.50561489927974;6.54632783172026;5.80255767827974;0.88638360733531;0.081803003;0.088179152;0.006376149;0.0779451703013885;0.002907918;0.003161442;0.000253524;0.0871840265096885;94.78371084;28.51574748;-66.26796336;-0.699149281798683;-0.998979469;-0.999090722;-0.000111253000000033;0.000111366653121911
"Dunker";"7";"25";7.103839184;9.360847439;0.50849722827936;6.59534195572064;2.76550548327936;0.419311917690731;0.0399;0.037234817;-0.00266518299999999;-0.06679656641604;0.000532678;0.000505593;-2.70849999999999e-05;-0.0508468530707105;73.42957319;34.17263016;-39.25694303;-0.534620335166897;-0.998979236;-0.998947761;3.1475000000003e-05;-3.15071613760779e-05
"Dunker";"7";"30";7.725394488;9.123721333;0.54301840986352;7.18237607813648;1.94134525486352;0.270292899417099;0.040943415;0.038321355;-0.00262206;-0.0640410674097409;0.001020958;0.000905929;-0.000115029;-0.112667710131073;98.41824489;43.89633059;-54.5219143;-0.553981778083302;-0.99900806;-0.998972762;3.52980000000169e-05;-3.53330482639118e-05
"Dunker";"7";"35";7.805593905;12.79704104;0.5474726854837;7.2581212195163;5.5389198204837;0.763134102195778;0.075117495;0.073301819;-0.001815676;-0.0241711468147334;0.002784165;0.002664132;-0.000120033;-0.0431127465505815;103.2539677;51.24912751;-52.00484019;-0.503659484942001;-0.999011803;-0.999045243;-3.34399999999402e-05;3.34730779951958e-05
"Nobbele";"1";"25";5.498600295;7.255998426;0.4193422603843;5.0792580346157;2.1767403913843;0.428554796103993;0.040508594;0.025977206;-0.014531388;-0.358723583445034;0.000600573;0.000386611;-0.000213962;-0.356263102070856;24.25993227;19.7253628;-4.53456947;-0.186915998756002;-0.999241522;-0.998999806;0.000241716000000003;-0.000241899475430328
"Nobbele";"1";"30";5.13670427;7.11948386;0.3992425551558;4.7374617148442;2.3820221451558;0.502805571534658;0.047975536;0.050050223;0.002074687;0.0432446862084042;0.001100034;0.00111697;1.69359999999999e-05;0.0153958877634691;49.5504272;25.90939621;-23.64103099;-0.477110538211465;-0.998934288;-0.998956194;-2.19060000000715e-05;2.1929370393252e-05
"Nobbele";"1";"35";4.841914895;6.169336063;0.3828699532683;4.4590449417317;1.7102911212683;0.383555479618938;0.061219105;0.050553969;-0.010665136;-0.174212543616899;0.002259946;0.00183405;-0.000425896;-0.188454060406753;69.16645041;32.61409042;-36.55235999;-0.528469507591144;-0.998924731;-0.998876119;4.86120000000589e-05;-4.86643272425487e-05
"Nobbele";"2";"25";5.021830078;6.732226223;0.39286244253212;4.62896763546788;2.10325858753212;0.454368825441038;0.019730865;0.005049568;-0.014681297;-0.744077717829401;0.00029397;7.61e-05;-0.00021787;-0.741130047283736;51.95199904;25.61184725;-26.34015179;-0.507009398612739;-0.998996128;-0.998970856;2.52720000000206e-05;-2.52973953468823e-05
"Nobbele";"2";"30";5.57909701;7.502288567;0.4238130479354;5.1552839620646;2.3470046049354;0.455261945259649;0.030622674;0.030510194;-0.000112479999999998;-0.00367309530186678;0.00077356;0.000740286;-3.32739999999999e-05;-0.043014116552045;61.56527539;31.88131308;-29.68396231;-0.48215430081259;-0.999010124;-0.998991082;1.90420000000247e-05;-1.90608678956938e-05
"Nobbele";"2";"35";5.586946573;9.518046162;0.42424901266442;5.16269756033558;4.35534860166442;0.84361877695995;0.062246643;0.064125234;0.00187859100000001;0.0301797962020218;0.002231207;0.002322625;9.14180000000002e-05;0.040972442270036;63.03005966;36.59566937;-26.43439029;-0.419393388370466;-0.999029441;-0.999058466;-2.90250000000158e-05;2.90531978426608e-05
"Nobbele";"8";"30";7.90271001;11.73206584;0.5528665139554;7.3498434960446;4.3822223439554;0.596233422699918;0.074238134;0.079682927;0.005444793;0.0733422663883228;0.001690983;0.001458133;-0.00023285;-0.137700970382316;89.62086537;41.44354234;-48.17732303;-0.537568152584778;-0.998993016;-0.998966736;2.62800000000452e-05;-2.63064902147876e-05
"Nobbele";"8";"35";8.946638233;12.76590161;0.61084628746082;8.33579194553918;4.43010966446082;0.531456362323384;0.09429347;0.083962391;-0.010331079;-0.109563037610134;0.003325328;0.002983122;-0.000342206;-0.102908946125014;114.2428374;56.83168291;-57.41115449;-0.502536139652988;-0.998983509;-0.998923362;6.01470000000104e-05;-6.02082010945492e-05
"Riningsholm";"1";"25";11.37804722;18.01005222;0.7458867425988;10.6321604774012;7.3778917425988;0.693922157992311;0.135063927;0.130166409;-0.00489751799999999;-0.0362607404418205;0.00176058;0.001682021;-7.85590000000002e-05;-0.0446210907769032;82.6957858;65.38687915;-17.30890665;-0.209308206972743;-0.999092194;-0.998922624;0.000169570000000063;-0.000169724076535086
"Riningsholm";"1";"30";9.745485602;14.45174518;0.65521427033508;9.09027133166492;5.36147384833508;0.589803500106647;0.111684609;0.123735205;0.012050596;0.107898448209636;0.001967051;0.002114522;0.000147471;0.074970603202459;73.50374612;53.98747896;-19.51626716;-0.265513911741836;-0.998967905;-0.999011844;-4.39389999999928e-05;4.39843960752601e-05
"Riningsholm";"1";"35";9.14011055;14.42370157;0.621591739947;8.518518810053;5.905182759947;0.693217082878081;0.121056299;0.105291192;-0.015765107;-0.13022954716301;0.005635995;0.004845142;-0.000790853;-0.140321806531056;98.15879164;67.46147982;-30.69731182;-0.312731150283341;-0.999064738;-0.998982053;8.26849999999713e-05;-8.27624045319586e-05
"Riningsholm";"5";"25";7.044591869;11.64831836;0.50520663240426;6.53938523659574;5.10893312340426;0.781255873230044;0.041430422;0.041619114;0.000188691999999997;0.00455443104103543;0.000547867;0.000550857;2.99000000000002e-06;0.00545752892581598;53.12757863;38.38286129;-14.74471734;-0.277534149310429;-0.999069959;-0.998984871;8.50879999999554e-05;-8.51672089961774e-05
"Riningsholm";"5";"30";7.240375059;9.98554664;0.51608043077686;6.72429462822314;3.26125201177686;0.4849954072638;0.066282775;0.062095942;-0.004186833;-0.0631662298387477;0.001281855;0.001238848;-4.30069999999999e-05;-0.0335505965963388;68.44328079;46.40499652;-22.03828427;-0.321993393882135;-0.998692336;-0.998691885;4.51000000012414e-07;-4.51590528689522e-07
"Riningsholm";"5";"35";7.202865511;9.707623062;0.51399715048094;6.68886836051906;3.01875470148094;0.451310227496641;0.084143329;0.068355048;-0.015788281;-0.187635564074248;0.0025645;0.002308147;-0.000256353;-0.0999621758627413;65.28005741;45.81627048;-19.46378693;-0.298158238552934;-0.999091123;-0.999002799;8.83240000000285e-05;-8.8404348679243e-05
"Riningsholm";"6";"25";7.664713557;10.51085498;0.53964819095578;7.12506536604422;3.38578961395578;0.475194182791834;0.082068792;0.091994401;0.009925609;0.120942550244921;0.00110442;0.001228519;0.000124099;0.112365766646747;52.58981647;30.80765617;-21.7821603;-0.414189699871375;-0.999297548;-0.999307722;-1.01739999999184e-05;1.01811517703418e-05
"Riningsholm";"6";"30";8.324147417;12.83566759;0.57627314754018;7.74787426945982;5.08779332054018;0.656669577176153;0.077637107;0.076396293;-0.00124081399999999;-0.0159822287041169;0.001489504;0.001498642;9.1379999999999e-06;0.00613492813715163;75.55551897;47.73784496;-27.81767401;-0.368175275469225;-0.999089411;-0.999019716;6.96950000000918e-05;-6.97585213422823e-05
"Riningsholm";"6";"35";6.448096055;10.14414924;0.4720772548947;5.9760188001053;4.1681304398947;0.69747612571454;0.0634685;0.061941991;-0.001526509;-0.0240514428417246;0.002152038;0.002065962;-8.6076e-05;-0.0399974349895309;75.78268817;44.43581348;-31.34687469;-0.41364163039032;-0.999140001;-0.999152311;-1.23100000000154e-05;1.23205956999968e-05
"Riningsholm";"7";"25";11.27519562;15.48393141;0.7401743647348;10.5350212552652;4.9489101547348;0.469757965819142;0.093796766;0.130959271;0.037162505;0.396202412778283;0.001267562;0.001754081;0.000486519;0.383822645361726;91.56886941;62.63959642;-28.92927299;-0.315929127184798;-0.998879375;-0.998857463;2.19120000000128e-05;-2.19365826829819e-05
"Riningsholm";"7";"30";8.498360533;12.24917358;0.58594894400282;7.91241158899718;4.33676199100282;0.548096107264367;0.111740004;0.096374888;-0.015365116;-0.137507745211822;0.002234741;0.001993409;-0.000241332;-0.107991037887612;73.37220676;52.41404786;-20.9581589;-0.285641659498589;-0.99906904;-0.998982254;8.67860000000054e-05;-8.68668695809104e-05
"Riningsholm";"7";"35";6.232283519;10.04489544;0.46009102664526;5.77219249235474;4.27270294764526;0.740221840020832;0.084429231;0.086315233;0.00188600200000001;0.02233825865357;0.002801683;0.002881775;8.00919999999999e-05;0.0285871028235528;95.49018234;50.73849866;-44.75168368;-0.468652196313316;-0.99875144;-0.998795279;-4.38389999999345e-05;4.38938040479165e-05
"Riningsholm";"8";"25";11.71152613;16.47197749;0.7644081612602;10.9471179687398;5.5248595212602;0.504686213945697;0.130799035;0.122895291;-0.007903744;-0.0604266231780686;0.00172402;0.001645157;-7.8863e-05;-0.0457436688669505;80.6430028;62.31910686;-18.32389594;-0.227222391326926;-0.99919796;-0.999154649;4.33110000001014e-05;-4.3345765037492e-05
"Riningsholm";"8";"35";8.214049139;10.23829226;0.57015828918006;7.64389084981994;2.59440141018006;0.339408484651658;0.094554471;0.081731993;-0.012822478;-0.135609430885611;0.003143686;0.002821904;-0.000321782;-0.102358187172637;120.7624769;68.77775307;-51.98472383;-0.430470831374609;-0.998869813;-0.998816652;5.31609999999683e-05;-5.32211498516557e-05
"Skelleftea";"6";"25";5.93718613;8.004751204;0.4437013176602;5.4934848123398;2.5112663916602;0.457135402653565;0.074264218;0.032336802;-0.041927416;-0.564570894693862;0.001094426;0.000477878;-0.000616548;-0.563352844322046;45.00223075;20.7555586;-24.24667215;-0.538788227736911;-0.999208232;-0.999231405;-2.31729999999875e-05;2.31913621784368e-05
"Skelleftea";"6";"30";6.37783698;9.485362756;0.4681750658692;5.9096619141308;3.5757008418692;0.605060136066197;0.075592387;0.079640545;0.004048158;0.0535524562810802;0.001809985;0.001860096;5.0111e-05;0.0276858647999845;55.88336889;38.78209859;-17.1012703;-0.306017168250216;-0.999014086;-0.998980196;3.38899999999809e-05;-3.39234455999261e-05
"Skelleftea";"6";"35";5.550428226;7.946384049;0.42222078367204;5.12820744232796;2.81817660667204;0.54954419031706;0.100962216;0.091922768;-0.00903944799999999;-0.0895329793474421;0.003054833;0.002882513;-0.00017232;-0.0564089755479267;71.60423639;12.61769606;-58.98654033;-0.823785620849632;-0.998947139;-0.999180839;-0.000233700000000003;0.000233946312949001
"Skelleftea";"7";"25";3.539143649;4.740938348;0.31051403826546;3.22862961073454;1.51230873726546;0.468405769505842;0.022489686;0.014093577;-0.008396109;-0.373331535175725;0.000337897;0.000211968;-0.000125929;-0.372684575477142;23.35252747;16.6096789;-6.74284857;-0.288741703811814;-0.999086031;-0.999050536;3.54949999999965e-05;-3.55274710071454e-05
"Skelleftea";"7";"30";3.676140972;4.917816823;0.31812286958488;3.35801810241512;1.55979872058488;0.464499795121133;0.04734246;0.022685919;-0.024656541;-0.520812416591787;0.000990076;0.000513625;-0.000476451;-0.481226693708362;39.87664767;17.71883463;-22.15781304;-0.555658871411846;-0.999001289;-0.999033153;-3.18639999999926e-05;3.18958547409768e-05
"Skelleftea";"8";"25";9.375392548;13.17277097;0.63465930211592;8.74073324588408;4.43203772411592;0.507055598133363;0.113781766;0.105493688;-0.008288078;-0.0728418822397255;0.001501831;0.001412212;-8.9619e-05;-0.059673158963958;55.22952388;40.54601219;-14.68351169;-0.265863448721804;-0.999265611;-0.999227121;3.84900000000021e-05;-3.85182874065724e-05
"Skelleftea";"8";"30";9.498328781;13.47212777;0.64148718049674;8.85684160050326;4.61528616949674;0.521098420596626;0.144589995;0.130207187;-0.014382808;-0.0994730513684574;0.002857785;0.002557349;-0.000300436;-0.105128972263484;73.87129014;50.11894687;-23.75234327;-0.3215368680442;-0.999089843;-0.999100207;-1.03639999999849e-05;1.03734414603442e-05
"Skelleftea";"8";"35";4.443402931;6.979932177;0.36073659878774;4.08266633221226;2.89726584478774;0.709650412018317;0.092553772;0.079519875;-0.013033897;-0.140825130282102;0.002862078;0.002453751;-0.000408327;-0.142668019529866;64.34230659;40.16188912;-24.18041747;-0.375808993359248;-0.998748739;-0.998715993;3.27460000000279e-05;-3.27870251258739e-05
"Uppsala";"1";"25";13.56321493;18.78184082;0.8672509572122;12.6959639727878;6.0858768472122;0.479355239212754;0.131524748;0.118428409;-0.013096339;-0.0995731921113432;0.001754218;0.001577357;-0.000176861;-0.100820422547255;91.21270169;72.46972394;-18.74297775;-0.205486488205347;-0.999018782;-0.998946749;7.20330000000269e-05;-7.21037494969007e-05
"Uppsala";"1";"30";11.329749;16.1396095;0.74320425946;10.58654474054;5.55306475946;0.524539865986222;0.112922033;0.132016254;0.019094221;0.169092076123001;0.001914844;0.002203806;0.000288962;0.150906287927372;96.42197389;56.31258494;-40.10938895;-0.415977679483699;-0.998996895;-0.998960464;3.64309999999479e-05;-3.64675808125989e-05
"Uppsala";"1";"35";13.5781691;17.35766972;0.868081511814;12.710087588186;4.647582131814;0.365660905132858;0.140350141;0.120955138;-0.019395003;-0.138190121234007;0.003870262;0.0033674;-0.000502862;-0.129929705017386;134.9371024;73.80175358;-61.13534882;-0.453065522622338;-0.999009633;-0.998811896;0.000197737000000031;-0.000197933026337526
