"sp","tleaf","prp","prpse","pr","prse","dETR","dETRse","ETR21","ETR21se","ETR0p","ETR0pse","anet.21p","anet.21p.se","anet.0p","anet.0p.se","gsw.21p","gsw.21p.se","gsw.0p","gsw.0p.se","gsw.delta","gsw.delta.se"
"Acer platanoides",25,3.061019274,0.452371057850775,0.407084628833333,0.0854583902132196,-6.92202367666667,4.24432809433217,40.9292078266667,1.97865525705324,34.00718415,5.06641247846301,8.31464939966667,NA,10.3553289155,NA,0.104342359666667,NA,0.107861345333333,NA,0.00351898566666667,NA
"Acer platanoides",30,5.03126512525,0.698254921269549,0.5563929995,0.0899633923306762,-16.58220066875,2.88432031549255,55.3521139775,6.23885948577696,38.76991330875,4.99513576461422,9.393124292875,NA,12.747301043,NA,0.141496082375,NA,0.124459383375,NA,-0.017036699,NA
"Acer platanoides",35,6.35457034442857,0.89835691393702,0.907322241142857,0.173822398559809,-24.7576344971429,2.21875860717109,62.4393074714286,8.247013411617,37.6816729742857,6.68965426900484,8.00802091242857,NA,12.244401142,NA,0.102460554571429,NA,0.100431040857143,NA,-0.00202951371428571,NA
"Betula pendula",25,5.26657667833333,1.82440337587041,0.3264025305,0.114866559606243,-44.519029975,14.5770349031085,135.949368226667,16.6836458351476,91.4303382516667,6.18872161941102,17.2425815383333,NA,20.7536326566667,NA,0.290170946666667,NA,0.197030196666667,NA,-0.09314075,NA
"Betula pendula",30,10.00011056625,0.9902626357368,0.76056337575,0.139907537983524,-42.80595115875,11.844901300625,125.95580582625,17.7076222921365,83.1498546675,8.32491980502414,14.264184186625,NA,20.93092456375,NA,0.168438751875,NA,0.23203703375,NA,0.063598281875,NA
"Betula pendula",35,10.461559335625,0.757385433818953,0.742179704875,0.0668938731845063,-51.44660069375,12.4543139198282,139.332244155,16.6799006422997,87.88564346125,9.62113447180744,14.55105921,NA,21.5254321,NA,0.17218117,NA,0.154066270375,NA,-0.018114899625,NA
"Betula pubescens",25,5.82942122696296,0.524549473483175,0.60649035562963,0.024694837699022,-27.3579290822222,3.09012772507227,76.9799117825926,5.67730609675592,49.6219827003704,3.88153298307511,9.41258057225926,NA,13.298861389963,NA,0.0907523748888889,NA,0.0843056066296296,NA,-0.00644676825925926,NA
"Betula pubescens",30,5.5165971995,0.496368998409492,0.625608303115385,0.0221117648085056,-34.0023288280769,2.45526107476647,81.2974002426923,4.34515476540654,47.2950714146154,3.09368268861166,8.57267853769231,NA,12.2504100037692,NA,0.0930663796923077,NA,0.0889063108846154,NA,-0.00416006880769231,NA
"Betula pubescens",35,5.70781235503846,0.51608035897025,0.723720135307692,0.0431943779617559,-43.9114691046154,3.03347932856135,96.3857709930769,5.55952064665729,52.4743018884615,4.01275802162135,8.03520863580769,NA,11.8404168723462,NA,0.0997513875769231,NA,0.0905277933846154,NA,-0.00922359419230769,NA
"Corylus avellana",25,3.47165992428571,0.905748213285891,0.504864098714286,0.163393455812946,-4.75029455857143,3.89324145032582,41.4625882285714,7.86398739381029,36.71229367,4.4307511024786,8.25303639928572,NA,10.5674763487143,NA,0.189914582857143,NA,0.214429726285714,NA,0.0245151434285714,NA
"Corylus avellana",30,5.264105822,1.3242866118563,0.737353049,0.115742007764751,-8.156210478,5.82320015036206,38.80475879,5.52141815478155,30.648548312,6.29697659676676,6.715836835,NA,10.225240716,NA,0.12243443,NA,0.1048752522,NA,-0.0175591778,NA
"Corylus avellana",35,5.75266625666667,0.65794097656261,0.989568568166667,0.0596947315728449,-15.8647194333333,1.93179781687414,47.3318868283333,4.18621805114113,31.467167395,5.16426143267497,5.81598543783333,NA,9.6510962755,NA,0.0981729446666667,NA,0.103650763666667,NA,0.005477819,NA
"Fagus sylvatica",25,3.636394950625,0.683826334023668,0.478393465875,0.113493074232043,2.52403656,7.26317850175144,36.4833004093333,13.6090273379721,42.31638030625,5.59334172984579,8.3956117825,NA,10.81987508275,NA,0.132773824625,NA,0.15930744325,NA,0.026533618625,NA
"Fagus sylvatica",30,8.3388581446,1.65544910827237,0.645687342,0.0521295617578965,-14.218959786,8.12224635576857,72.680625308,13.5575331601935,58.461665522,16.4663151389368,12.4599656556,NA,18.019204418,NA,0.2186312106,NA,0.2089124694,NA,-0.0097187412,NA
"Fagus sylvatica",35,11.4882435886667,1.12402044865747,1.02612742183333,0.0816470194288776,-11.1329256316667,7.48436336707723,78.038237605,13.1347435151825,66.9053119733333,7.29506979961359,11.409598681,NA,19.0684277383333,NA,0.214042172,NA,0.214370124833333,NA,0.000327952833333333,NA
"Scandosorbus intermedia",30,7.1456354492,1.77219241773543,0.7275118008,0.125637404273415,-9.90935389,7.74677106039984,66.73233382,5.57476494473679,56.82297993,8.85610495910312,9.2444205246,NA,14.00817749,NA,0.152439141,NA,0.1435378936,NA,-0.0089012474,NA
"Scandosorbus intermedia",35,7.5720054704,1.72447839913795,0.7223832778,0.0651378886741993,-22.165120036,2.75434374373551,84.857579648,9.43860871695381,62.692459612,9.20519715086162,10.0000189854,NA,15.0480226316,NA,0.1433355748,NA,0.1291488898,NA,-0.014186685,NA
"Tilia cordata",25,4.79494855923529,0.527032428759935,0.607790224411765,0.0746656306890649,-9.31708474941176,2.54726966789705,54.6337035247059,3.04748283856649,45.3166187752941,2.31949552620465,8.240973809,NA,11.4376061816471,NA,0.0911934564117647,NA,0.0972261299411765,NA,0.00603267352941176,NA
"Tilia cordata",30,6.21071367916667,0.684952863664617,0.642114613,0.0647337538754617,-18.1175509483333,5.64838582558814,71.0611912766667,10.8485104580466,52.9436403283333,6.6283176692506,10.0115198405,NA,14.1519956265,NA,0.123053274833333,NA,0.1132035735,NA,-0.00984970133333333,NA
"Tilia cordata",35,6.71354446683333,0.34413544655569,0.745850570333333,0.0721787225426457,-27.9312833283333,3.36466109656862,83.1915681916667,3.81319118940751,55.2602848633333,5.5701503184211,9.49151739016667,NA,13.9672137013333,NA,0.138834102,NA,0.1337283925,NA,-0.0051057095,NA
