0.096;13;SE;15-jan;;;;;
0.06;18;0.024046829;;;;;;
0.124;23;;;;;;;
0.174;28;;;Rp apparent;"CO"" release";Rp;RpAvg;SE
;17.1;15.6;;1.5;0.75;2.25;2.625;0.46837485
;17.6;16.6;;1;0.5;1.5;;
;19.1;17;;2.1;1.05;3.15;;
;16.2;13.8;;2.4;1.2;3.6;;
